Name = Wierstorf 2011 - Unechoic - AKGK271 - 44.1kHz					
ImpulseResponseSubFolder = Data\wierstorf2011\44100Hz					
SampleRate = 44100				
					
<AvailableSourceLocations> 					
// AvailableSourceLocations are specified as: File [tab] Channel [tab] Ear [tab] Azimuth [tab] Elevation [tab] Distance [tab], with one location per row					
// Note that Channel is the channel number within the File in which the impulse response for the corresponding Azimuth, Elevation and Distance for ear Ear is stored. 					
// Ear should have the values either L or R, for left and right respectively					
					
//File	Channel	Ear	Azimuth	Elevation	Distance
QU_KEMAR_anechoic_AKGK271_0.5m.wav	1	R	0	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	2	L	0	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	3	R	1	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	4	L	1	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	5	R	2	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	6	L	2	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	7	R	3	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	8	L	3	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	9	R	4	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	10	L	4	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	11	R	5	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	12	L	5	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	13	R	6	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	14	L	6	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	15	R	7	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	16	L	7	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	17	R	8	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	18	L	8	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	19	R	9	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	20	L	9	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	21	R	10	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	22	L	10	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	23	R	11	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	24	L	11	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	25	R	12	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	26	L	12	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	27	R	13	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	28	L	13	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	29	R	14	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	30	L	14	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	31	R	15	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	32	L	15	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	33	R	16	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	34	L	16	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	35	R	17	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	36	L	17	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	37	R	18	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	38	L	18	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	39	R	19	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	40	L	19	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	41	R	20	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	42	L	20	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	43	R	21	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	44	L	21	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	45	R	22	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	46	L	22	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	47	R	23	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	48	L	23	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	49	R	24	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	50	L	24	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	51	R	25	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	52	L	25	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	53	R	26	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	54	L	26	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	55	R	27	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	56	L	27	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	57	R	28	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	58	L	28	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	59	R	29	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	60	L	29	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	61	R	30	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	62	L	30	0	0.5
QU_KEMAR_anechoic_AKGK271_0.5m.wav	63	R	31	0	0.5
