Id	Transcription
C	C
L00S00W00P00	f
L00S00W00P01	a
L00S00W00P02	rː
L00S00W00P03	f
L00S00W00P04	a
L00S00W00P05	rː
L00S00W01P00	s
L00S00W01P01	k
L00S00W01P02	ɑː
L00S00W02P00	v
L00S00W02P01	a
L00S00W02P02	kː
L00S00W02P03	s
L00S00W02P04	a
L00S00W03P00	b
L00S00W03P01	iː
L00S00W03P02	l
L00S00W03P03	e̞
L00S00W03P04	n
L00S01W00P00	p
L00S01W00P01	ɔ
L00S01W00P02	ʝː
L00S01W00P03	k
L00S01W00P04	e̞
L00S01W00P05	n
L00S01W01P00	s
L00S01W01P01	t
L00S01W01P02	uː
L00S01W01P03	d
L00S01W02P00	p
L00S01W02P01	oː
L00S01W03P00	h
L00S01W03P01	ɛ̝
L00S01W03P02	nː
L00S01W03P03	d
L00S01W03P04	e̞
L00S01W03P05	r
L00S02W00P00	l
L00S02W00P01	oː
L00S02W00P02	s
L00S02W00P03	e̞
L00S02W00P04	t
L00S02W01P00	f
L00S02W01P01	r
L00S02W01P02	øː
L00S02W01P03	s
L00S02W02P00	ɵ
L00S02W02P01	nː
L00S02W02P02	d
L00S02W02P03	e̞
L00S02W02P04	r
L00S02W03P00	n
L00S02W03P01	a
L00S02W03P02	tː
L00S02W03P03	e̞
L00S02W03P04	n
L00S03W00P00	d
L00S03W00P01	ɛ̝
L00S03W00P02	nː
L00S03W01P00	ɡ
L00S03W01P01	a
L00S03W01P02	mː
L00S03W01P03	l
L00S03W01P04	e̞
L00S03W02P00	m
L00S03W02P01	a
L00S03W02P02	nː
L00S03W02P03	e̞
L00S03W02P04	n
L00S03W03P00	l
L00S03W03P01	ɛː
L00S03W03P02	s
L00S03W03P03	t
L00S03W03P04	e̞
L00S03W04P00	ɛ̝
L00S03W04P01	nː
L00S03W05P00	b
L00S03W05P01	uː
L00S03W05P02	k
L00S04W00P00	d
L00S04W00P01	eː
L00S04W01P00	r
L00S04W01P01	øː
L00S04W01P02	d
L00S04W01P03	a
L00S04W02P00	s
L00S04W02P01	t
L00S04W02P02	ø̞
L00S04W02P03	vː
L00S04W02P04	l
L00S04W02P05	a
L00S04W02P06	ɳ
L00S04W02P07	a
L00S04W03P00	v
L00S04W03P01	ɑː
L00S04W03P02	r
L00S04W04P00	f
L00S04W04P01	øː
L00S04W04P02	r
L00S04W05P00	s
L00S04W05P01	m
L00S04W05P02	oː
L00S05W00P00	h
L00S05W00P01	ɵ
L00S05W00P02	nː
L00S05W00P03	d
L00S05W00P04	e̞
L00S05W00P05	n
L00S05W01P00	k
L00S05W01P01	ɔ
L00S05W01P02	mː
L00S05W02P00	h
L00S05W02P01	ɛ̝
L00S05W02P02	mː
L00S05W03P00	t
L00S05W03P01	ɪ
L00S05W03P02	lː
L00S05W04P00	s
L00S05W04P01	l
L00S05W04P02	ʉː
L00S05W04P03	t
L00S06W00P00	b
L00S06W00P01	ɛː
L00S06W00P02	b
L00S06W00P03	ɪ
L00S06W00P04	s
L00S06W00P05	e̞
L00S06W00P06	n
L00S06W01P00	s
L00S06W01P01	oː
L00S06W01P02	v
L00S06W01P03	e̞
L00S06W01P04	r
L00S06W02P00	iː
L00S06W03P00	s
L00S06W03P01	k
L00S06W03P02	ɵ
L00S06W03P03	ɡː
L00S06W03P04	a
L00S06W03P05	n
L00S07W00P00	h
L00S07W00P01	ʊ
L00S07W00P02	nː
L00S07W01P00	k
L00S07W01P01	l
L00S07W01P02	ɛ̝
L00S07W01P03	tː
L00S07W01P04	r
L00S07W01P05	a
L00S07W01P06	r
L00S07W02P00	ɵ
L00S07W02P01	pː
L00S07W03P00	p
L00S07W03P01	oː
L00S07W04P00	t
L00S07W04P01	ɑː
L00S07W04P02	k
L00S07W04P03	e̞
L00S07W04P04	t
L00S08W00P00	k
L00S08W00P01	ɪ
L00S08W00P02	lː
L00S08W00P03	e̞
L00S08W00P04	n
L00S08W01P00	s
L00S08W01P01	a
L00S08W01P02	tː
L00S08W02P00	t
L00S08W02P01	ʏ
L00S08W02P02	sː
L00S08W02P03	t
L00S08W03P00	iː
L00S08W04P00	h
L00S08W04P01	øː
L00S08W04P02	ɳ
L00S08W04P03	e̞
L00S08W04P04	t
L00S09W00P00	ɛ̝
L00S09W00P01	nː
L00S09W01P00	l
L00S09W01P01	ɛː
L00S09W01P02	r
L00S09W01P03	a
L00S09W01P04	r
L00S09W01P05	e̞
L00S09W02P00	ɧ
L00S09W02P01	ø̞
L00S09W02P02	ŋː
L00S09W03P00	iː
L00S09W04P00	a͡uː
L00S09W04P01	l
L00S09W04P02	a
L00S09W04P03	n
L01S00W00P00	s
L01S00W00P01	ʏ
L01S00W00P02	kː
L01S00W00P03	e̞
L01S00W00P04	l
L01S00W00P05	n
L01S00W01P00	l
L01S00W01P01	ɪ
L01S00W01P02	ɡː
L01S00W01P03	e̞
L01S00W01P04	r
L01S00W02P00	s
L01S00W02P01	l
L01S00W02P02	ɛ̝
L01S00W02P03	ŋː
L01S00W02P04	d
L01S00W03P00	iː
L01S00W04P00	ɡ
L01S00W04P01	r
L01S00W04P02	ɛː
L01S00W04P03	s
L01S00W04P04	e̞
L01S00W04P05	t
L01S01W00P00	t
L01S01W00P01	a
L01S01W00P02	nː
L01S01W00P03	t
L01S01W00P04	e̞
L01S01W00P05	n
L01S01W01P00	h
L01S01W01P01	a
L01S01W01P02	nː
L01S01W01P03	d
L01S01W01P04	l
L01S01W01P05	a
L01S01W01P06	r
L01S01W02P00	ɛ̝
L01S01W02P01	nː
L01S01W03P00	ɡ
L01S01W03P01	ɔ
L01S01W03P02	ŋː
L01S01W04P00	iː
L01S01W05P00	v
L01S01W05P01	ɛ̝
L01S01W05P02	kː
L01S01W05P03	a
L01S01W05P04	n
L01S02W00P00	f
L01S02W00P01	r
L01S02W00P02	ɵ
L01S02W00P03	kː
L01S02W00P04	t
L01S02W00P05	e̞
L01S02W00P06	n
L01S02W01P00	p
L01S02W01P01	a
