Id	Spelling	Transcription
C	C	C
L00S00	Farfar ska vaxa bilen	[ f ² a rː . f ˌ a rː ], [ s k ˈ ɑː ], [ v ² a kː . s a ], [ b ˈ iː . l e̞ n ]
L00S01	Pojken stod på händer	[ p ² ɔ ʝː . k e̞ n ], [ s t ˈ uː d ], [ p ˈ oː ], [ h ˈ ɛ̝ nː . d e̞ r ]
L00S02	Låset frös under natten	[ l ˈ oː . s e̞ t ], [ f r ˈ øː s ], [ ˈ ɵ nː . d e̞ r ], [ n ˈ a tː . e̞ n ]
L00S03	Den gamle mannen läste en bok	[ d ˈ ɛ̝ nː ], [ ɡ ² a mː . l e̞ ], [ m ˈ a nː . e̞ n ], [ l ² ɛː . s t e̞ ], [ ˈ ɛ̝ nː ], [ b ˈ uː k ]
L00S04	De röda stövlarna var för små	[ d ˈ eː ], [ r ² øː . d a ], [ s t ² ø̞ vː . l a . ɳ a ], [ v ˈ ɑː r ], [ f ˈ øː r ], [ s m ˈ oː ]
L00S05	Hunden kom hem till slut	[ h ˈ ɵ nː . d e̞ n ], [ k ˈ ɔ mː ], [ h ˈ ɛ̝ mː ], [ t ˈ ɪ lː ], [ s l ˈ ʉː t ]
L00S06	Bebisen sover i skuggan	[ b ˈ ɛː . b ɪ . s e̞ n ], [ s ˈ oː . v e̞ r ], [ ˈ iː ], [ s k ² ɵ ɡː . a n ]
L00S07	Hon klättrar upp på taket	[ h ˈ ʊ nː ], [ k l ² ɛ̝ tː . r a r ], [ ˈ ɵ pː ], [ p ˈ oː ], [ t ˈ ɑː . k e̞ t ]
L00S08	Killen satt tyst i hörnet	[ k ² ɪ lː . e̞ n ], [ s ˈ a tː ], [ t ˈ ʏ sː t ], [ ˈ iː ], [ h ˈ øː . ɳ e̞ t ]
L00S09	En lärare sjöng i aulan	[ ˈ ɛ̝ nː ], [ l ² ɛː . r a . r e̞ ], [ ɧ ˈ ø̞ ŋː ], [ ˈ iː ], [ ˈ a͡uː . l a n ]
L01S00	Cykeln ligger slängd i gräset	[ s ˈ ʏ kː . e̞ l n ], [ l ² ɪ ɡː . e̞ r ], [ s l ˈ ɛ̝ ŋː d ], [ ˈ iː ], [ ɡ r ˈ ɛː . s e̞ t ]
L01S01	Tanten handlar en gång i veckan	[ t ˈ a nː . t e̞ n ], [ h ² a nː d . l a r ], [ ˈ ɛ̝ nː ], [ ɡ ˈ ɔ ŋː ], [ ˈ iː ], [ v ² ɛ̝ kː . a n ]
L01S02	Frukten packades i sex lådor	[ f r ˈ ɵ kː . t e̞ n ], [ p ² a kː . a . d e̞ s ], [ ˈ iː ], [ s ˈ ɛ̝ kː s ], [ l ² oː . d ʊ r ]
L01S03	Plånboken låg kvar på isen	[ p l ² oː m . b ˌ uː . k e̞ n ], [ l ˈ oː ɡ ], [ k v ˈ ɑː r ], [ p ˈ oː ], [ ˈ iː . s e̞ n ]
L01S04	Mamma lär sig hoppa fallskärm	[ m ² a mː . a ], [ l ˈ ɛː r ], [ s ˈ ɛ̝ ʝː ], [ h ² ɔ pː . a ], [ f ² a lː . ɧ ˌ ɛ̝ rː m ]
L01S05	Datorn blev överhettad	[ d ² ɑː . t ʊ ɳ ], [ b l ˈ eː v ], [ ² øː . v e̞ r . h ˌ ɛ̝ tː . a d ]
L01S06	Rektorn tog fram kastrullen	[ r ² ɛ̝ kː . t ʊ ɳ ], [ t ˈ uː ɡ ], [ f r ˈ a mː ], [ k a . s t r ˈ ɵ lː . e̞ n ]
L01S07	Kvinnan arbetade på posten	[ k v ² ɪ nː . a n ], [ ² a rː . b e . t a . d e̞ ], [ p ˈ oː ], [ p ˈ ɔ sː . t e̞ n ]
L01S08	Nästa år börjar de sjuan	[ n ² ɛ̝ sː . t a ], [ ˈ oː r ], [ b ² ø̞ rː . ʝ a r ], [ d ˈ ɔ mː ], [ ɧ ² ʉː . a n ]
L01S09	Bonden skjutsade sina barn	[ b ² ʊ nː . d e̞ n ], [ ɧ ² ɵ sː . a . d e̞ ], [ s ² iː . n a ], [ b ˈ ɑː ɳ ]
L02S00	Kvinnan ringde sin syster	[ k v ² ɪ nː . a n ], [ r ² ɪ ŋː . d e̞ ], [ s ˈ ɪ nː ], [ s ² ʏ sː . t e̞ r ]
L02S01	Isen lade sig över sjön	[ ˈ iː . s e̞ n ], [ l ² ɑː . d e̞ ], [ s ˈ ɛ̝ ʝː ], [ ˈ øː . v e̞ r ], [ ɧ ˈ ø̞ nː ]
L02S02	Träden gav svalkande skugga	[ t r ˈ ɛː . d e̞ n ], [ ɡ ˈ ɑː v ], [ s v ² a lː . k a n . d e̞ ], [ s k ² ɵ ɡː . a ]
L02S03	Personalen kommer imorgon	[ p e̞ . ʂ ʊ . n ˈ ɑː . l e̞ n ], [ k ˈ ɔ mː . e̞ r ], [ ɪ . m ² ɔ rː . ɔ n ]
L02S04	Korvgubben tittar på stjärnorna	[ k ² ɔ rː v . ɡ ˌ ɵ bː . e̞ n ], [ t ² ɪ tː . a r ], [ p ˈ oː ], [ ɧ ² ɛː . ɳ ʊ . ɳ a ]
L02S05	Sovrumsmattan är blå	[ s ² oː v . r ɵ m s . m ˌ a tː . a n ], [ ˈ ɛː r ], [ b l ˈ oː ]
L02S06	Killen halkade i badrummet	[ k ² ɪ lː . e̞ n ], [ h ² a lː . k a . d e̞ ], [ ˈ iː ], [ b ² ɑː d . r ˌ ɵ mː . e̞ t ]
L02S07	Mannen fotograferar slottet	[ m ˈ a nː . e̞ n ], [ f ʊ . t ʊ . ɡ r a . f ˈ eː . r a r ], [ s l ˈ ɔ tː . e̞ t ]
L02S08	Föräldrarna satt på balkongen	[ f ø̞ r . ˈ ɛ̝ lː . d r a . ɳ a ], [ s ˈ a tː ], [ p ˈ oː ], [ b a l . k ˈ ɔ ŋː . e̞ n ]
L02S09	Tjejen tappade boken	[ ɕ ˈ ɛ̝ ʝː . e̞ n ], [ t ² a pː . a . d e̞ ], [ b ˈ uː . k e̞ n ]
L03S00	I tallen satt en hackspett	[ ˈ iː ], [ t ˈ a lː . e̞ n ], [ s ˈ a tː ], [ ˈ ɛ̝ nː ], [ h ² a kː . s p ˌ ɛ̝ tː ]
L03S01	Kvinnan missade barnens pjäs	[ k v ² ɪ nː . a n ], [ m ² ɪ sː . a . d e̞ ], [ b ˈ ɑː . ɳ e̞ n s ], [ p ʝ ˈ ɛː s ]
L03S02	Han försökte lyfta sju kilo	[ h ˈ a nː ], [ f ø̞ . ʂ ˈ øː k . t e̞ ], [ l ² ʏ fː . t a ], [ ɧ ˈ ʉː ], [ ɕ ˈ iː . l ʊ ]
L03S03	Mormor ska klippa sig på tisdag	[ m ² ʊ rː . m ˌ ʊ rː ], [ s k ˈ ɑː ], [ k l ² ɪ pː . a ], [ s ˈ ɛ̝ ʝː ], [ p ˈ oː ], [ t ˈ iː s . d ɑ ɡ ]
L03S04	Flickan brände sig på ryggen	[ f l ² ɪ kː . a n ], [ b r ² ɛ̝ nː . d e̞ ], [ s ˈ ɛ̝ ʝː ], [ p ˈ oː ], [ r ˈ ʏ ɡː . e̞ n ]
L03S05	Det gamla bordet står på gården	[ d ˈ ɛː ], [ ɡ ² a mː . l a ], [ b ˈ uː . ɖ e̞ t ], [ s t ˈ oː r ], [ p ˈ oː ], [ ɡ ˈ oː . ɖ e̞ n ]
L03S06	Killen visslade från balkongen	[ k ² ɪ lː . e̞ n ], [ v ² ɪ sː . l a . d e̞ ], [ f r ˈ oː n ], [ b a l . k ˈ ɔ ŋː . e̞ n ]
L03S07	Turisten cyklade över bron	[ t ʉ . r ˈ ɪ sː . t e̞ n ], [ s ² ʏ kː . l a . d e̞ ], [ ˈ øː . v e̞ r ], [ b r ˈ uː n ]
L03S08	Pojken startade en förening	[ p ˈ ɔ ʝː . k e̞ n ], [ s t ² a ʈː . a . d e̞ ], [ ˈ ɛ̝ nː ], [ f ø̞ r . ˈ eː . n ɪ ŋ ]
L03S09	Rummet har tre gula väggar	[ r ˈ ɵ mː . e̞ t ], [ h ˈ ɑː r ], [ t r ˈ eː ], [ ɡ ² ʉː . l a ], [ v ² ɛ̝ ɡː . a r ]
