// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
				
ListCollection	HINT		Swedish HINT	False
				
List	L00	HINT	Lista 1	False
Sentence	L00S00	L00	Sentence00	False
Word	L00S00W00	L00S00	Farfar	False
Phoneme	L00S00W00P00	L00S00W00	f	False
Phoneme	L00S00W00P01	L00S00W00	a	False
Phoneme	L00S00W00P02	L00S00W00	rː	False
Phoneme	L00S00W00P03	L00S00W00	f	False
Phoneme	L00S00W00P04	L00S00W00	a	False
Phoneme	L00S00W00P05	L00S00W00	rː	False
Word	L00S00W01	L00S00	ska	False
Phoneme	L00S00W01P00	L00S00W01	s	False
Phoneme	L00S00W01P01	L00S00W01	k	False
Phoneme	L00S00W01P02	L00S00W01	ɑː	False
Word	L00S00W02	L00S00	vaxa	False
Phoneme	L00S00W02P00	L00S00W02	v	False
Phoneme	L00S00W02P01	L00S00W02	a	False
Phoneme	L00S00W02P02	L00S00W02	kː	False
Phoneme	L00S00W02P03	L00S00W02	s	False
Phoneme	L00S00W02P04	L00S00W02	a	False
Word	L00S00W03	L00S00	bilen	False
Phoneme	L00S00W03P00	L00S00W03	b	False
Phoneme	L00S00W03P01	L00S00W03	iː	False
Phoneme	L00S00W03P02	L00S00W03	l	False
Phoneme	L00S00W03P03	L00S00W03	e̞	False
Phoneme	L00S00W03P04	L00S00W03	n	False
Sentence	L00S01	L00	Sentence01	False
Word	L00S01W00	L00S01	Pojken	False
Phoneme	L00S01W00P00	L00S01W00	p	False
Phoneme	L00S01W00P01	L00S01W00	ɔ	False
Phoneme	L00S01W00P02	L00S01W00	ʝː	False
Phoneme	L00S01W00P03	L00S01W00	k	False
Phoneme	L00S01W00P04	L00S01W00	e̞	False
Phoneme	L00S01W00P05	L00S01W00	n	False
Word	L00S01W01	L00S01	stod	False
Phoneme	L00S01W01P00	L00S01W01	s	False
Phoneme	L00S01W01P01	L00S01W01	t	False
Phoneme	L00S01W01P02	L00S01W01	uː	False
Phoneme	L00S01W01P03	L00S01W01	d	False
Word	L00S01W02	L00S01	på	False
Phoneme	L00S01W02P00	L00S01W02	p	False
Phoneme	L00S01W02P01	L00S01W02	oː	False
Word	L00S01W03	L00S01	händer	False
Phoneme	L00S01W03P00	L00S01W03	h	False
Phoneme	L00S01W03P01	L00S01W03	ɛ̝	False
Phoneme	L00S01W03P02	L00S01W03	nː	False
Phoneme	L00S01W03P03	L00S01W03	d	False
Phoneme	L00S01W03P04	L00S01W03	e̞	False
Phoneme	L00S01W03P05	L00S01W03	r	False
Sentence	L00S02	L00	Sentence02	False
Word	L00S02W00	L00S02	Låset	False
Phoneme	L00S02W00P00	L00S02W00	l	False
Phoneme	L00S02W00P01	L00S02W00	oː	False
Phoneme	L00S02W00P02	L00S02W00	s	False
Phoneme	L00S02W00P03	L00S02W00	e̞	False
Phoneme	L00S02W00P04	L00S02W00	t	False
Word	L00S02W01	L00S02	frös	False
Phoneme	L00S02W01P00	L00S02W01	f	False
Phoneme	L00S02W01P01	L00S02W01	r	False
Phoneme	L00S02W01P02	L00S02W01	øː	False
Phoneme	L00S02W01P03	L00S02W01	s	False
Word	L00S02W02	L00S02	under	False
Phoneme	L00S02W02P00	L00S02W02	ɵ	False
Phoneme	L00S02W02P01	L00S02W02	nː	False
Phoneme	L00S02W02P02	L00S02W02	d	False
Phoneme	L00S02W02P03	L00S02W02	e̞	False
Phoneme	L00S02W02P04	L00S02W02	r	False
Word	L00S02W03	L00S02	natten	False
Phoneme	L00S02W03P00	L00S02W03	n	False
Phoneme	L00S02W03P01	L00S02W03	a	False
Phoneme	L00S02W03P02	L00S02W03	tː	False
Phoneme	L00S02W03P03	L00S02W03	e̞	False
Phoneme	L00S02W03P04	L00S02W03	n	False
Sentence	L00S03	L00	Sentence03	False
Word	L00S03W00	L00S03	Den	False
Phoneme	L00S03W00P00	L00S03W00	d	False
