// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
				
ListCollection	HINT		Swedish HINT	False
				
List	L00	HINT	Lista 1	False
Sentence	L00S00	L00	Sentence00	False
Word	L00S00W00	L00S00	Farfar	False
Word	L00S00W01	L00S00	ska	False
Word	L00S00W02	L00S00	vaxa	False
Word	L00S00W03	L00S00	bilen	False
Sentence	L00S01	L00	Sentence01	False
Word	L00S01W00	L00S01	Pojken	False
Word	L00S01W01	L00S01	stod	False
Word	L00S01W02	L00S01	på	False
Word	L00S01W03	L00S01	händer	False
Sentence	L00S02	L00	Sentence02	False
Word	L00S02W00	L00S02	Låset	False
Word	L00S02W01	L00S02	frös	False
Word	L00S02W02	L00S02	under	False
Word	L00S02W03	L00S02	natten	False
Sentence	L00S03	L00	Sentence03	False
Word	L00S03W00	L00S03	Den	False
Word	L00S03W01	L00S03	gamle	False
Word	L00S03W02	L00S03	mannen	False
Word	L00S03W03	L00S03	läste	False
Word	L00S03W04	L00S03	en	False
Word	L00S03W05	L00S03	bok	False
Sentence	L00S04	L00	Sentence04	False
Word	L00S04W00	L00S04	De	False
Word	L00S04W01	L00S04	röda	False
Word	L00S04W02	L00S04	stövlarna	False
Word	L00S04W03	L00S04	var	False
Word	L00S04W04	L00S04	för	False
Word	L00S04W05	L00S04	små	False
Sentence	L00S05	L00	Sentence05	False
Word	L00S05W00	L00S05	Hunden	False
Word	L00S05W01	L00S05	kom	False
Word	L00S05W02	L00S05	hem	False
Word	L00S05W03	L00S05	till	False
Word	L00S05W04	L00S05	slut	False
Sentence	L00S06	L00	Sentence06	False
Word	L00S06W00	L00S06	Bebisen	False
Word	L00S06W01	L00S06	sover	False
Word	L00S06W02	L00S06	i	False
Word	L00S06W03	L00S06	skuggan	False
Sentence	L00S07	L00	Sentence07	False
Word	L00S07W00	L00S07	Hon	False
Word	L00S07W01	L00S07	klättrar	False
Word	L00S07W02	L00S07	upp	False
Word	L00S07W03	L00S07	på	False
Word	L00S07W04	L00S07	taket	False
Sentence	L00S08	L00	Sentence08	False
Word	L00S08W00	L00S08	Killen	False
Word	L00S08W01	L00S08	satt	False
Word	L00S08W02	L00S08	tyst	False
Word	L00S08W03	L00S08	i	False
Word	L00S08W04	L00S08	hörnet	False
Sentence	L00S09	L00	Sentence09	False
Word	L00S09W00	L00S09	En	False
Word	L00S09W01	L00S09	lärare	False
Word	L00S09W02	L00S09	sjöng	False
Word	L00S09W03	L00S09	i	False
Word	L00S09W04	L00S09	aulan	False
				
List	L01	HINT	Lista 2	False
Sentence	L01S00	L01	Sentence00	False
Word	L01S00W00	L01S00	Cykeln	False
Word	L01S00W01	L01S00	ligger	False
Word	L01S00W02	L01S00	slängd	False
Word	L01S00W03	L01S00	i	False
Word	L01S00W04	L01S00	gräset	False
Sentence	L01S01	L01	Sentence01	False
Word	L01S01W00	L01S01	Tanten	False
Word	L01S01W01	L01S01	handlar	False
Word	L01S01W02	L01S01	en	False
Word	L01S01W03	L01S01	gång	False
Word	L01S01W04	L01S01	i	False
Word	L01S01W05	L01S01	veckan	False
Sentence	L01S02	L01	Sentence02	False
Word	L01S02W00	L01S02	Frukten	False
Word	L01S02W01	L01S02	packades	False
Word	L01S02W02	L01S02	i	False
Word	L01S02W03	L01S02	sex	False
Word	L01S02W04	L01S02	lådor	False
Sentence	L01S03	L01	Sentence03	False
Word	L01S03W00	L01S03	Plånboken	False
Word	L01S03W01	L01S03	låg	False
Word	L01S03W02	L01S03	kvar	False
Word	L01S03W03	L01S03	på	False
Word	L01S03W04	L01S03	isen	False
Sentence	L01S04	L01	Sentence04	False
Word	L01S04W00	L01S04	Mamma	False
Word	L01S04W01	L01S04	lär	False
Word	L01S04W02	L01S04	sig	False
Word	L01S04W03	L01S04	hoppa	False
Word	L01S04W04	L01S04	fallskärm	False
Sentence	L01S05	L01	Sentence05	False
