Id	Spelling	Transcription	IsKeyComponent
C	C	C	N
L00S00W00	Farfar	 f ² a rː . f ˌ a rː 	1
L00S00W01	ska	 s k ˈ ɑː 	0
L00S00W02	vaxa	 v ² a kː . s a 	1
L00S00W03	bilen	 b ˈ iː . l e̞ n 	1
L00S01W00	Pojken	 p ² ɔ ʝː . k e̞ n 	1
L00S01W01	stod	 s t ˈ uː d 	1
L00S01W02	på	 p ˈ oː 	0
L00S01W03	händer	 h ˈ ɛ̝ nː . d e̞ r 	1
L00S02W00	Låset	 l ˈ oː . s e̞ t 	1
L00S02W01	frös	 f r ˈ øː s 	1
L00S02W02	under	 ˈ ɵ nː . d e̞ r 	0
L00S02W03	natten	 n ˈ a tː . e̞ n 	1
L00S03W00	Den	 d ˈ ɛ̝ nː 	0
L00S03W01	gamle	 ɡ ² a mː . l e̞ 	1
L00S03W02	mannen	 m ˈ a nː . e̞ n 	1
L00S03W03	läste	 l ² ɛː . s t e̞ 	1
L00S03W04	en	 ˈ ɛ̝ nː 	0
L00S03W05	bok	 b ˈ uː k 	1
L00S04W00	De	 d ˈ eː 	0
L00S04W01	röda	 r ² øː . d a 	1
L00S04W02	stövlarna	 s t ² ø̞ vː . l a . ɳ a 	1
L00S04W03	var	 v ˈ ɑː r 	0
L00S04W04	för	 f ˈ øː r 	1
L00S04W05	små	 s m ˈ oː 	1
L00S05W00	Hunden	 h ˈ ɵ nː . d e̞ n 	1
L00S05W01	kom	 k ˈ ɔ mː 	0
L00S05W02	hem	 h ˈ ɛ̝ mː 	1
L00S05W03	till	 t ˈ ɪ lː 	1
L00S05W04	slut	 s l ˈ ʉː t 	1
L00S06W00	Bebisen	 b ˈ ɛː . b ɪ . s e̞ n 	1
L00S06W01	sover	 s ˈ oː . v e̞ r 	1
L00S06W02	i	 ˈ iː 	0
L00S06W03	skuggan	 s k ² ɵ ɡː . a n 	1
L00S07W00	Hon	 h ˈ ʊ nː 	1
L00S07W01	klättrar	 k l ² ɛ̝ tː . r a r 	1
L00S07W02	upp	 ˈ ɵ pː 	1
L00S07W03	på	 p ˈ oː 	0
L00S07W04	taket	 t ˈ ɑː . k e̞ t 	1
L00S08W00	Killen	 k ² ɪ lː . e̞ n 	1
L00S08W01	satt	 s ˈ a tː 	1
L00S08W02	tyst	 t ˈ ʏ sː t 	1
L00S08W03	i	 ˈ iː 	0
L00S08W04	hörnet	 h ˈ øː . ɳ e̞ t 	1
L00S09W00	En	 ˈ ɛ̝ nː 	0
L00S09W01	lärare	 l ² ɛː . r a . r e̞ 	1
L00S09W02	sjöng	 ɧ ˈ ø̞ ŋː 	1
L00S09W03	i	 ˈ iː 	0
L00S09W04	aulan	 ˈ a͡uː . l a n 	1
L01S00W00	Cykeln	 s ˈ ʏ kː . e̞ l n 	1
L01S00W01	ligger	 l ² ɪ ɡː . e̞ r 	0
L01S00W02	slängd	 s l ˈ ɛ̝ ŋː d 	1
L01S00W03	i	 ˈ iː 	0
L01S00W04	gräset	 ɡ r ˈ ɛː . s e̞ t 	1
L01S01W00	Tanten	 t ˈ a nː . t e̞ n 	1
L01S01W01	handlar	 h ² a nː d . l a r 	1
L01S01W02	en	 ˈ ɛ̝ nː 	1
L01S01W03	gång	 ɡ ˈ ɔ ŋː 	1
L01S01W04	i	 ˈ iː 	0
L01S01W05	veckan	 v ² ɛ̝ kː . a n 	1
L01S02W00	Frukten	 f r ˈ ɵ kː . t e̞ n 	1
L01S02W01	packades	 p ² a kː . a . d e̞ s 	1
L01S02W02	i	 ˈ iː 	0
L01S02W03	sex	 s ˈ ɛ̝ kː s 	1
L01S02W04	lådor	 l ² oː . d ʊ r 	1
L01S03W00	Plånboken	 p l ² oː m . b ˌ uː . k e̞ n 	1
L01S03W01	låg	 l ˈ oː ɡ 	0
L01S03W02	kvar	 k v ˈ ɑː r 	1
L01S03W03	på	 p ˈ oː 	0
L01S03W04	isen	 ˈ iː . s e̞ n 	1
L01S04W00	Mamma	 m ² a mː . a 	1
L01S04W01	lär	 l ˈ ɛː r 	1
L01S04W02	sig	 s ˈ ɛ̝ ʝː 	0
L01S04W03	hoppa	 h ² ɔ pː . a 	1
L01S04W04	fallskärm	 f ² a lː . ɧ ˌ ɛ̝ rː m 	1
L01S05W00	Datorn	 d ² ɑː . t ʊ ɳ 	1
L01S05W01	blev	 b l ˈ eː v 	0
L01S05W02	överhettad	 ² øː . v e̞ r . h ˌ ɛ̝ tː . a d 	1
L01S06W00	Rektorn	 r ² ɛ̝ kː . t ʊ ɳ 	1
L01S06W01	tog	 t ˈ uː ɡ 	1
L01S06W02	fram	 f r ˈ a mː 	1
L01S06W03	kastrullen	 k a . s t r ˈ ɵ lː . e̞ n 	1
L01S07W00	Kvinnan	 k v ² ɪ nː . a n 	1
L01S07W01	arbetade	 ² a rː . b e . t a . d e̞ 	1
L01S07W02	på	 p ˈ oː 	0
L01S07W03	posten	 p ˈ ɔ sː . t e̞ n 	1
L01S08W00	Nästa	 n ² ɛ̝ sː . t a 	1
L01S08W01	år	 ˈ oː r 	1
L01S08W02	börjar	 b ² ø̞ rː . ʝ a r 	1
L01S08W03	de	 d ˈ ɔ mː 	0
L01S08W04	sjuan	 ɧ ² ʉː . a n 	1
L01S09W00	Bonden	 b ² ʊ nː . d e̞ n 	1
L01S09W01	skjutsade	 ɧ ² ɵ sː . a . d e̞ 	1
L01S09W02	sina	 s ² iː . n a 	0
L01S09W03	barn	 b ˈ ɑː ɳ 	1
L02S00W00	Kvinnan	 k v ² ɪ nː . a n 	1
L02S00W01	ringde	 r ² ɪ ŋː . d e̞ 	1
L02S00W02	sin	 s ˈ ɪ nː 	0
L02S00W03	syster	 s ² ʏ sː . t e̞ r 	1
L02S01W00	Isen	 ˈ iː . s e̞ n 	1
L02S01W01	lade	 l ² ɑː . d e̞ 	1
L02S01W02	sig	 s ˈ ɛ̝ ʝː 	1
L02S01W03	över	 ˈ øː . v e̞ r 	0
L02S01W04	sjön	 ɧ ˈ ø̞ nː 	1
L02S02W00	Träden	 t r ˈ ɛː . d e̞ n 	1
L02S02W01	gav	 ɡ ˈ ɑː v 	0
L02S02W02	svalkande	 s v ² a lː . k a n . d e̞ 	1
L02S02W03	skugga	 s k ² ɵ ɡː . a 	1
L02S03W00	Personalen	 p e̞ . ʂ ʊ . n ˈ ɑː . l e̞ n 	1
L02S03W01	kommer	 k ˈ ɔ mː . e̞ r 	1
L02S03W02	imorgon	 ɪ . m ² ɔ rː . ɔ n 	1
L02S04W00	Korvgubben	 k ² ɔ rː v . ɡ ˌ ɵ bː . e̞ n 	1
L02S04W01	tittar	 t ² ɪ tː . a r 	1
L02S04W02	på	 p ˈ oː 	0
L02S04W03	stjärnorna	 ɧ ² ɛː . ɳ ʊ . ɳ a 	1
L02S05W00	Sovrumsmattan	 s ² oː v . r ɵ m s . m ˌ a tː . a n 	1
L02S05W01	är	 ˈ ɛː r 	0
L02S05W02	blå	 b l ˈ oː 	1
L02S06W00	Killen	 k ² ɪ lː . e̞ n 	1
L02S06W01	halkade	 h ² a lː . k a . d e̞ 	1
L02S06W02	i	 ˈ iː 	0
L02S06W03	badrummet	 b ² ɑː d . r ˌ ɵ mː . e̞ t 	1
L02S07W00	Mannen	 m ˈ a nː . e̞ n 	1
L02S07W01	fotograferar	 f ʊ . t ʊ . ɡ r a . f ˈ eː . r a r 	1
L02S07W02	slottet	 s l ˈ ɔ tː . e̞ t 	1
