Id	Transcription
C	C
L00S00W00P00	k
L00S00W00P01	ɑː
L00S00W00P02	r
L00S00W00P03	ɪ
L00S00W00P04	n
L00S00W01P00	gav
L00S00W02P00	två
L00S00W03P00	gamla
L00S00W04P00	knappar
L00S01W00P00	b
L00S01W00P01	r
L00S01W00P02	ɪ
L00S01W00P03	tː
L00S01W00P04	a
L00S01W01P00	höll
L00S01W02P00	tre
L00S01W03P00	hela
L00S01W04P00	bollar
L00S02W00P00	m
L00S02W00P01	ɛ̝
L00S02W00P02	ʈː
L00S02W00P03	a
L00S02W01P00	ser
L00S02W02P00	fyra
L00S02W03P00	stora
L00S02W04P00	vantar
L00S03W00P00	p
L00S03W00P01	eː
L00S03W00P02	t
L00S03W00P03	e̞
L00S03W00P04	r
L00S03W01P00	köpte
L00S03W02P00	sex
L00S03W03P00	nya
L00S03W04P00	pennor
L00S04W00P00	s
L00S04W00P01	v
L00S04W00P02	a
L00S04W00P03	nː
L00S04W00P04	t
L00S04W00P05	e̞
L00S04W01P00	lånar
L00S04W02P00	sju
L00S04W03P00	vackra
L00S04W04P00	korgar
L00S05W00P00	ʝ
L00S05W00P01	uː
L00S05W00P02	n
L00S05W00P03	a
L00S05W00P04	s
L00S05W01P00	ägde
L00S05W02P00	åtta
L00S05W03P00	mörka
L00S05W04P00	skålar
L00S06W00P00	ɛ̝
L00S06W00P01	lː
L00S06W00P02	s
L00S06W00P03	a
L00S06W01P00	flyttar
L00S06W02P00	nio
L00S06W03P00	ljusa
L00S06W04P00	mössor
L00S07W00P00	a
L00S07W00P01	nː
L00S07W00P02	a
L00S07W01P00	visar
L00S07W02P00	elva
L00S07W03P00	fina
L00S07W04P00	dukar
L00S08W00P00	b
L00S08W00P01	ʊ
L00S08W00P02	sː
L00S08W00P03	e̞
L00S08W01P00	har
L00S08W02P00	tolv
L00S08W03P00	lätta
L00S08W04P00	ringar
L00S09W00P00	ɡ
L00S09W00P01	ɵ
L00S09W00P02	sː
L00S09W00P03	t
L00S09W00P04	ɑ
L00S09W00P05	v
L00S09W01P00	tog
L00S09W02P00	arton
L00S09W03P00	svarta
L00S09W04P00	lådor
L01S00W00P00	b
L01S00W00P01	r
L01S00W00P02	ɪ
L01S00W00P03	tː
L01S00W00P04	a
L01S00W01P00	tog
L01S00W02P00	åtta
L01S00W03P00	hela
L01S00W04P00	vantar
L01S01W00P00	k
L01S01W00P01	ɑː
L01S01W00P02	r
L01S01W00P03	ɪ
L01S01W00P04	n
L01S01W01P00	har
L01S01W02P00	fyra
L01S01W03P00	nya
L01S01W04P00	ringar
L01S02W00P00	m
L01S02W00P01	ɛ̝
L01S02W00P02	ʈː
L01S02W00P03	a
L01S02W01P00	visar
L01S02W02P00	nio
L01S02W03P00	mörka
L01S02W04P00	dukar
L01S03W00P00	b
L01S03W00P01	ʊ
L01S03W00P02	sː
L01S03W00P03	e̞
L01S03W01P00	köpte
L01S03W02P00	sju
L01S03W03P00	vackra
L01S03W04P00	bollar
L01S04W00P00	a
L01S04W00P01	nː
L01S04W00P02	a
L01S04W01P00	flyttar
L01S04W02P00	sex
L01S04W03P00	gamla
L01S04W04P00	korgar
L01S05W00P00	ɛ̝
L01S05W00P01	lː
L01S05W00P02	s
L01S05W00P03	a
L01S05W01P00	ägde
L01S05W02P00	arton
L01S05W03P00	svarta
L01S05W04P00	knappar
L01S06W00P00	p
L01S06W00P01	eː
L01S06W00P02	t
L01S06W00P03	e̞
L01S06W00P04	r
L01S06W01P00	ser
L01S06W02P00	elva
L01S06W03P00	stora
L01S06W04P00	lådor
L01S07W00P00	ʝ
L01S07W00P01	uː
L01S07W00P02	n
L01S07W00P03	a
L01S07W00P04	s
L01S07W01P00	höll
L01S07W02P00	tre
L01S07W03P00	lätta
L01S07W04P00	pennor
L01S08W00P00	s
L01S08W00P01	v
L01S08W00P02	a
L01S08W00P03	nː
L01S08W00P04	t
L01S08W00P05	e̞
L01S08W01P00	gav
L01S08W02P00	två
L01S08W03P00	fina
L01S08W04P00	skålar
L01S09W00P00	ɡ
L01S09W00P01	ɵ
L01S09W00P02	sː
L01S09W00P03	t
L01S09W00P04	ɑ
L01S09W00P05	v
L01S09W01P00	lånar
L01S09W02P00	tolv
L01S09W03P00	ljusa
L01S09W04P00	mössor
L02S00W00P00	ɛ̝
L02S00W00P01	lː
L02S00W00P02	s
L02S00W00P03	a
L02S00W01P00	ägde
L02S00W02P00	nio
L02S00W03P00	fina
L02S00W04P00	pennor
L02S01W00P00	ɡ
L02S01W00P01	ɵ
L02S01W00P02	sː
L02S01W00P03	t
L02S01W00P04	ɑ
L02S01W00P05	v
L02S01W01P00	lånar
L02S01W02P00	två
L02S01W03P00	gamla
L02S01W04P00	lådor
L02S02W00P00	b
L02S02W00P01	ʊ
L02S02W00P02	sː
L02S02W00P03	e̞
L02S02W01P00	gav
L02S02W02P00	sju
L02S02W03P00	mörka
L02S02W04P00	bollar
L02S03W00P00	b
L02S03W00P01	r
L02S03W00P02	ɪ
L02S03W00P03	tː
L02S03W00P04	a
L02S03W01P00	visar
L02S03W02P00	arton
L02S03W03P00	stora
L02S03W04P00	knappar
L02S04W00P00	p
L02S04W00P01	eː
L02S04W00P02	t
L02S04W00P03	e̞
L02S04W00P04	r
L02S04W01P00	flyttar
L02S04W02P00	åtta
L02S04W03P00	ljusa
L02S04W04P00	skålar
L02S05W00P00	s
L02S05W00P01	v
L02S05W00P02	a
L02S05W00P03	nː
L02S05W00P04	t
L02S05W00P05	e̞
L02S05W01P00	tog
L02S05W02P00	tolv
L02S05W03P00	hela
L02S05W04P00	dukar
L02S06W00P00	m
L02S06W00P01	ɛ̝
L02S06W00P02	ʈː
L02S06W00P03	a
L02S06W01P00	har
L02S06W02P00	elva
L02S06W03P00	lätta
L02S06W04P00	korgar
L02S07W00P00	k
L02S07W00P01	ɑː
L02S07W00P02	r
L02S07W00P03	ɪ
L02S07W00P04	n
L02S07W01P00	höll
L02S07W02P00	fyra
L02S07W03P00	vackra
L02S07W04P00	mössor
L02S08W00P00	ʝ
L02S08W00P01	uː
L02S08W00P02	n
L02S08W00P03	a
L02S08W00P04	s
L02S08W01P00	köpte
L02S08W02P00	sex
L02S08W03P00	nya
L02S08W04P00	vantar
L02S09W00P00	a
L02S09W00P01	nː
L02S09W00P02	a
L02S09W01P00	ser
L02S09W02P00	tre
L02S09W03P00	svarta
L02S09W04P00	ringar
L03S00W00P00	ɡ
L03S00W00P01	ɵ
L03S00W00P02	sː
L03S00W00P03	t
L03S00W00P04	ɑ
L03S00W00P05	v
L03S00W01P00	ser
L03S00W02P00	tolv
L03S00W03P00	svarta
L03S00W04P00	skålar
L03S01W00P00	ʝ
L03S01W00P01	uː
L03S01W00P02	n
L03S01W00P03	a
L03S01W00P04	s
L03S01W01P00	flyttar
L03S01W02P00	sju
L03S01W03P00	ljusa
L03S01W04P00	lådor
L03S02W00P00	m
L03S02W00P01	ɛ̝
L03S02W00P02	ʈː
L03S02W00P03	a
L03S02W01P00	köpte
L03S02W02P00	fyra
L03S02W03P00	hela
L03S02W04P00	mössor
L03S03W00P00	ɛ̝
L03S03W00P01	lː
L03S03W00P02	s
L03S03W00P03	a
L03S03W01P00	lånar
L03S03W02P00	tre
L03S03W03P00	mörka
L03S03W04P00	vantar
L03S04W00P00	k
L03S04W00P01	ɑː
L03S04W00P02	r
L03S04W00P03	ɪ
L03S04W00P04	n
L03S04W01P00	visar
L03S04W02P00	åtta
L03S04W03P00	gamla
L03S04W04P00	dukar
L03S05W00P00	b
L03S05W00P01	ʊ
L03S05W00P02	sː
L03S05W00P03	e̞
L03S05W01P00	ägde
L03S05W02P00	sex
L03S05W03P00	vackra
L03S05W04P00	ringar
L03S06W00P00	p
L03S06W00P01	eː
L03S06W00P02	t
L03S06W00P03	e̞
L03S06W00P04	r
L03S06W01P00	gav
L03S06W02P00	två
L03S06W03P00	stora
L03S06W04P00	bollar
L03S07W00P00	b
L03S07W00P01	r
L03S07W00P02	ɪ
L03S07W00P03	tː
L03S07W00P04	a
L03S07W01P00	tog
L03S07W02P00	arton
L03S07W03P00	nya
L03S07W04P00	pennor
L03S08W00P00	s
L03S08W00P01	v
L03S08W00P02	a
L03S08W00P03	nː
L03S08W00P04	t
L03S08W00P05	e̞
L03S08W01P00	har
L03S08W02P00	nio
L03S08W03P00	fina
L03S08W04P00	knappar
L03S09W00P00	a
L03S09W00P01	nː
L03S09W00P02	a
L03S09W01P00	höll
L03S09W02P00	elva
L03S09W03P00	lätta
L03S09W04P00	korgar
L04S00W00P00	p
L04S00W00P01	eː
L04S00W00P02	t
L04S00W00P03	e̞
L04S00W00P04	r
L04S00W01P00	köpte
L04S00W02P00	två
L04S00W03P00	fina
L04S00W04P00	knappar
L04S01W00P00	b
L04S01W00P01	ʊ
L04S01W00P02	sː
L04S01W00P03	e̞
L04S01W01P00	gav
