// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Matrix Test (Hagerman)		Swedish Matrix Test (Hagerman)	False

List	L00	Swedish Matrix Test (Hagerman)	Lista 0 original	False
Sentence	L00S00	L00	Sentence00	False
Word	L00S00W00	L00S00	Karin	False
Phoneme	L00S00W00P00	L00S00W00	k	False
Phoneme	L00S00W00P01	L00S00W00	ɑː	False
Phoneme	L00S00W00P02	L00S00W00	r	False
Phoneme	L00S00W00P03	L00S00W00	ɪ	False
Phoneme	L00S00W00P04	L00S00W00	n	False
Word	L00S00W01	L00S00	gav	False
Phoneme	L00S00W01P00	L00S00W01	gav	False
Word	L00S00W02	L00S00	två	False
Phoneme	L00S00W02P00	L00S00W02	två	False
Word	L00S00W03	L00S00	gamla	False
Phoneme	L00S00W03P00	L00S00W03	gamla	False
Word	L00S00W04	L00S00	knappar	False
Phoneme	L00S00W04P00	L00S00W04	knappar	False
Sentence	L00S01	L00	Sentence01	False
Word	L00S01W00	L00S01	Britta	False
Phoneme	L00S01W00P00	L00S01W00	b	False
Phoneme	L00S01W00P01	L00S01W00	r	False
Phoneme	L00S01W00P02	L00S01W00	ɪ	False
Phoneme	L00S01W00P03	L00S01W00	tː	False
Phoneme	L00S01W00P04	L00S01W00	a	False
Word	L00S01W01	L00S01	höll	False
Phoneme	L00S01W01P00	L00S01W01	höll	False
Word	L00S01W02	L00S01	tre	False
Phoneme	L00S01W02P00	L00S01W02	tre	False
Word	L00S01W03	L00S01	hela	False
Phoneme	L00S01W03P00	L00S01W03	hela	False
Word	L00S01W04	L00S01	bollar	False
Phoneme	L00S01W04P00	L00S01W04	bollar	False
Sentence	L00S02	L00	Sentence02	False
Word	L00S02W00	L00S02	Märta	False
Phoneme	L00S02W00P00	L00S02W00	m	False
Phoneme	L00S02W00P01	L00S02W00	ɛ̝	False
Phoneme	L00S02W00P02	L00S02W00	ʈː	False
Phoneme	L00S02W00P03	L00S02W00	a	False
Word	L00S02W01	L00S02	ser	False
Phoneme	L00S02W01P00	L00S02W01	ser	False
Word	L00S02W02	L00S02	fyra	False
Phoneme	L00S02W02P00	L00S02W02	fyra	False
Word	L00S02W03	L00S02	stora	False
Phoneme	L00S02W03P00	L00S02W03	stora	False
Word	L00S02W04	L00S02	vantar	False
Phoneme	L00S02W04P00	L00S02W04	vantar	False
Sentence	L00S03	L00	Sentence03	False
Word	L00S03W00	L00S03	Peter	False
Phoneme	L00S03W00P00	L00S03W00	p	False
Phoneme	L00S03W00P01	L00S03W00	eː	False
Phoneme	L00S03W00P02	L00S03W00	t	False
Phoneme	L00S03W00P03	L00S03W00	e̞	False
Phoneme	L00S03W00P04	L00S03W00	r	False
Word	L00S03W01	L00S03	köpte	False
Phoneme	L00S03W01P00	L00S03W01	köpte	False
Word	L00S03W02	L00S03	sex	False
Phoneme	L00S03W02P00	L00S03W02	sex	False
Word	L00S03W03	L00S03	nya	False
Phoneme	L00S03W03P00	L00S03W03	nya	False
Word	L00S03W04	L00S03	pennor	False
Phoneme	L00S03W04P00	L00S03W04	pennor	False
Sentence	L00S04	L00	Sentence04	False
Word	L00S04W00	L00S04	Svante	False
Phoneme	L00S04W00P00	L00S04W00	s	False
Phoneme	L00S04W00P01	L00S04W00	v	False
Phoneme	L00S04W00P02	L00S04W00	a	False
Phoneme	L00S04W00P03	L00S04W00	nː	False
Phoneme	L00S04W00P04	L00S04W00	t	False
Phoneme	L00S04W00P05	L00S04W00	e̞	False
Word	L00S04W01	L00S04	lånar	False
Phoneme	L00S04W01P00	L00S04W01	lånar	False
Word	L00S04W02	L00S04	sju	False
Phoneme	L00S04W02P00	L00S04W02	sju	False
Word	L00S04W03	L00S04	vackra	False
Phoneme	L00S04W03P00	L00S04W03	vackra	False
Word	L00S04W04	L00S04	korgar	False
Phoneme	L00S04W04P00	L00S04W04	korgar	False
Sentence	L00S05	L00	Sentence05	False
Word	L00S05W00	L00S05	Jonas	False
Phoneme	L00S05W00P00	L00S05W00	ʝ	False
Phoneme	L00S05W00P01	L00S05W00	uː	False
Phoneme	L00S05W00P02	L00S05W00	n	False
Phoneme	L00S05W00P03	L00S05W00	a	False
Phoneme	L00S05W00P04	L00S05W00	s	False
Word	L00S05W01	L00S05	ägde	False
Phoneme	L00S05W01P00	L00S05W01	ägde	False
Word	L00S05W02	L00S05	åtta	False
