// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
				
ListCollection	Swedish Matrix Test (Hagerman)		Swedish Matrix Test (Hagerman)	False
				
List	L02	Swedish Matrix Test (Hagerman)	Lista 2	False
Sentence	L02S00	L02	Sentence00	False
Word	L02S00W00	L02S00	Elsa	False
Phoneme	L02S00W00P00	L02S00W00	ɛ̝	False
Phoneme	L02S00W00P01	L02S00W00	lː	False
Phoneme	L02S00W00P02	L02S00W00	s	False
Phoneme	L02S00W00P03	L02S00W00	a	False
Word	L02S00W01	L02S00	ägde	False
Phoneme	L02S00W01P00	L02S00W01	ägde	False
Word	L02S00W02	L02S00	nio	False
Phoneme	L02S00W02P00	L02S00W02	nio	False
Word	L02S00W03	L02S00	fina	False
Phoneme	L02S00W03P00	L02S00W03	fina	False
Word	L02S00W04	L02S00	pennor	False
Phoneme	L02S00W04P00	L02S00W04	pennor	False
Sentence	L02S01	L02	Sentence01	False
Word	L02S01W00	L02S01	Gustav	False
Phoneme	L02S01W00P00	L02S01W00	ɡ	False
Phoneme	L02S01W00P01	L02S01W00	ɵ	False
Phoneme	L02S01W00P02	L02S01W00	sː	False
Phoneme	L02S01W00P03	L02S01W00	t	False
Phoneme	L02S01W00P04	L02S01W00	ɑ	False
Phoneme	L02S01W00P05	L02S01W00	v	False
Word	L02S01W01	L02S01	lånar	False
Phoneme	L02S01W01P00	L02S01W01	lånar	False
Word	L02S01W02	L02S01	två	False
Phoneme	L02S01W02P00	L02S01W02	två	False
Word	L02S01W03	L02S01	gamla	False
Phoneme	L02S01W03P00	L02S01W03	gamla	False
Word	L02S01W04	L02S01	lådor	False
Phoneme	L02S01W04P00	L02S01W04	lådor	False
Sentence	L02S02	L02	Sentence02	False
Word	L02S02W00	L02S02	Bosse	False
