Id	Spelling	Transcription	IsKeyComponent
C	C	C	N
L00S00W00	Karin	 k ² ɑː . r ɪ n 	0
L00S00W01	gav	 gav 	0
L00S00W02	två	 två 	0
L00S00W03	gamla	 gamla 	0
L00S00W04	knappar	 knappar 	0
L00S01W00	Britta	 b r ² ɪ tː . a 	0
L00S01W01	höll	 höll 	0
L00S01W02	tre	 tre 	0
L00S01W03	hela	 hela 	0
L00S01W04	bollar	 bollar 	0
L00S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L00S02W01	ser	 ser 	0
L00S02W02	fyra	 fyra 	0
L00S02W03	stora	 stora 	0
L00S02W04	vantar	 vantar 	0
L00S03W00	Peter	 p ˈ eː . t e̞ r 	0
L00S03W01	köpte	 köpte 	0
L00S03W02	sex	 sex 	0
L00S03W03	nya	 nya 	0
L00S03W04	pennor	 pennor 	0
L00S04W00	Svante	 s v ² a nː . t e̞ 	0
L00S04W01	lånar	 lånar 	0
L00S04W02	sju	 sju 	0
L00S04W03	vackra	 vackra 	0
L00S04W04	korgar	 korgar 	0
L00S05W00	Jonas	 ʝ ² uː . n a s 	0
L00S05W01	ägde	 ägde 	0
L00S05W02	åtta	 åtta 	0
L00S05W03	mörka	 mörka 	0
L00S05W04	skålar	 skålar 	0
L00S06W00	Elsa	 ² ɛ̝ lː . s a 	0
L00S06W01	flyttar	 flyttar 	0
L00S06W02	nio	 nio 	0
L00S06W03	ljusa	 ljusa 	0
L00S06W04	mössor	 mössor 	0
L00S07W00	Anna	 ² a nː . a 	0
L00S07W01	visar	 visar 	0
L00S07W02	elva	 elva 	0
L00S07W03	fina	 fina 	0
L00S07W04	dukar	 dukar 	0
L00S08W00	Bosse	 b ² ʊ sː . e̞ 	0
L00S08W01	har	 har 	0
L00S08W02	tolv	 tolv 	0
L00S08W03	lätta	 lätta 	0
L00S08W04	ringar	 ringar 	0
L00S09W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L00S09W01	tog	 tog 	0
L00S09W02	arton	 arton 	0
L00S09W03	svarta	 svarta 	0
L00S09W04	lådor	 lådor 	0
L01S00W00	Britta	 b r ² ɪ tː . a 	0
L01S00W01	tog	 tog 	0
L01S00W02	åtta	 åtta 	0
L01S00W03	hela	 hela 	0
L01S00W04	vantar	 vantar 	0
L01S01W00	Karin	 k ² ɑː . r ɪ n 	0
L01S01W01	har	 har 	0
L01S01W02	fyra	 fyra 	0
L01S01W03	nya	 nya 	0
L01S01W04	ringar	 ringar 	0
L01S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L01S02W01	visar	 visar 	0
L01S02W02	nio	 nio 	0
L01S02W03	mörka	 mörka 	0
L01S02W04	dukar	 dukar 	0
L01S03W00	Bosse	 b ² ʊ sː . e̞ 	0
L01S03W01	köpte	 köpte 	0
L01S03W02	sju	 sju 	0
L01S03W03	vackra	 vackra 	0
L01S03W04	bollar	 bollar 	0
L01S04W00	Anna	 ² a nː . a 	0
L01S04W01	flyttar	 flyttar 	0
L01S04W02	sex	 sex 	0
L01S04W03	gamla	 gamla 	0
L01S04W04	korgar	 korgar 	0
L01S05W00	Elsa	 ² ɛ̝ lː . s a 	0
L01S05W01	ägde	 ägde 	0
L01S05W02	arton	 arton 	0
L01S05W03	svarta	 svarta 	0
L01S05W04	knappar	 knappar 	0
L01S06W00	Peter	 p ˈ eː . t e̞ r 	0
L01S06W01	ser	 ser 	0
L01S06W02	elva	 elva 	0
L01S06W03	stora	 stora 	0
L01S06W04	lådor	 lådor 	0
L01S07W00	Jonas	 ʝ ² uː . n a s 	0
L01S07W01	höll	 höll 	0
L01S07W02	tre	 tre 	0
L01S07W03	lätta	 lätta 	0
L01S07W04	pennor	 pennor 	0
L01S08W00	Svante	 s v ² a nː . t e̞ 	0
L01S08W01	gav	 gav 	0
L01S08W02	två	 två 	0
L01S08W03	fina	 fina 	0
L01S08W04	skålar	 skålar 	0
L01S09W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L01S09W01	lånar	 lånar 	0
L01S09W02	tolv	 tolv 	0
L01S09W03	ljusa	 ljusa 	0
L01S09W04	mössor	 mössor 	0
L02S00W00	Elsa	 ² ɛ̝ lː . s a 	0
L02S00W01	ägde	 ägde 	0
L02S00W02	nio	 nio 	0
L02S00W03	fina	 fina 	0
L02S00W04	pennor	 pennor 	0
L02S01W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L02S01W01	lånar	 lånar 	0
L02S01W02	två	 två 	0
L02S01W03	gamla	 gamla 	0
L02S01W04	lådor	 lådor 	0
L02S02W00	Bosse	 b ² ʊ sː . e̞ 	0
L02S02W01	gav	 gav 	0
L02S02W02	sju	 sju 	0
L02S02W03	mörka	 mörka 	0
L02S02W04	bollar	 bollar 	0
L02S03W00	Britta	 b r ² ɪ tː . a 	0
L02S03W01	visar	 visar 	0
L02S03W02	arton	 arton 	0
L02S03W03	stora	 stora 	0
L02S03W04	knappar	 knappar 	0
L02S04W00	Peter	 p ˈ eː . t e̞ r 	0
L02S04W01	flyttar	 flyttar 	0
L02S04W02	åtta	 åtta 	0
L02S04W03	ljusa	 ljusa 	0
L02S04W04	skålar	 skålar 	0
L02S05W00	Svante	 s v ² a nː . t e̞ 	0
L02S05W01	tog	 tog 	0
L02S05W02	tolv	 tolv 	0
L02S05W03	hela	 hela 	0
L02S05W04	dukar	 dukar 	0
L02S06W00	Märta	 m ² ɛ̝ ʈː . a 	0
L02S06W01	har	 har 	0
L02S06W02	elva	 elva 	0
L02S06W03	lätta	 lätta 	0
L02S06W04	korgar	 korgar 	0
L02S07W00	Karin	 k ² ɑː . r ɪ n 	0
L02S07W01	höll	 höll 	0
L02S07W02	fyra	 fyra 	0
L02S07W03	vackra	 vackra 	0
L02S07W04	mössor	 mössor 	0
L02S08W00	Jonas	 ʝ ² uː . n a s 	0
L02S08W01	köpte	 köpte 	0
L02S08W02	sex	 sex 	0
L02S08W03	nya	 nya 	0
L02S08W04	vantar	 vantar 	0
L02S09W00	Anna	 ² a nː . a 	0
L02S09W01	ser	 ser 	0
L02S09W02	tre	 tre 	0
L02S09W03	svarta	 svarta 	0
L02S09W04	ringar	 ringar 	0
L03S00W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L03S00W01	ser	 ser 	0
L03S00W02	tolv	 tolv 	0
L03S00W03	svarta	 svarta 	0
L03S00W04	skålar	 skålar 	0
L03S01W00	Jonas	 ʝ ² uː . n a s 	0
L03S01W01	flyttar	 flyttar 	0
L03S01W02	sju	 sju 	0
L03S01W03	ljusa	 ljusa 	0
L03S01W04	lådor	 lådor 	0
L03S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L03S02W01	köpte	 köpte 	0
L03S02W02	fyra	 fyra 	0
