Id	Transcription
C	C
L00S00W00P00	a
L00S00W00P01	ɡː
L00S01W00P00	a
L00S01W00P01	kː
L00S01W00P02	t
L00S02W00P00	a
L00S02W00P01	rː
L00S02W00P02	ʝ
L00S03W00P00	a
L00S03W00P01	rː
L00S03W00P02	m
L00S04W00P00	a
L00S04W00P01	rː
L00S04W00P02	v
L00S05W00P00	b
L00S05W00P01	ɑː
L00S05W00P02	k
L00S06W00P00	b
L00S06W00P01	a
L00S06W00P02	rː
L00S07W00P00	b
L00S07W00P01	ɛ̝
L00S07W00P02	sː
L00S07W00P03	k
L00S08W00P00	b
L00S08W00P01	eː
L00S08W00P02	t
L00S09W00P00	b
L00S09W00P01	ɪ
L00S09W00P02	tː
L00S09W00P03	s
L00S09W00P04	k
L00S10W00P00	b
L00S10W00P01	l
L00S10W00P02	eː
L00S10W00P03	k
L00S11W00P00	b
L00S11W00P01	l
L00S11W00P02	uː
L00S11W00P03	d
L00S12W00P00	b
L00S12W00P01	l
L00S12W00P02	ɔ
L00S12W00P03	nː
L00S12W00P04	d
L00S13W00P00	b
L00S13W00P01	l
L00S13W00P02	ɔ
L00S13W00P03	sː
L00S14W00P00	b
L00S14W00P01	l
L00S14W00P02	ɵ
L00S14W00P03	fː
L00S15W00P00	b
L00S15W00P01	l
L00S15W00P02	yː
L00S15W00P03	ɡ
L00S16W00P00	b
L00S16W00P01	l
L00S16W00P02	oː
L00S16W00P03	s
L00S16W00P04	t
L00S17W00P00	b
L00S17W00P01	l
L00S17W00P02	øː
L00S17W00P03	t
L00S18W00P00	b
L00S18W00P01	ɔ
L00S18W00P02	kː
L00S19W00P00	b
L00S19W00P01	ɔ
L00S19W00P02	lː
L00S20W00P00	b
L00S20W00P01	uː
L00S20W00P02	ɖ
L00S21W00P00	b
L00S21W00P01	ɔ
L00S21W00P02	rː
L00S22W00P00	b
L00S22W00P01	ɔ
L00S22W00P02	ʂː
L00S22W00P03	ʈ
L00S23W00P00	b
L00S23W00P01	uː
L00S23W00P02	t
L00S24W00P00	b
L00S24W00P01	uː
L00S24W00P02	v
L00S25W00P00	b
L00S25W00P01	r
L00S25W00P02	a
L00S25W00P03	ɡː
L00S25W00P04	d
L00S26W00P00	b
L00S26W00P01	r
L00S26W00P02	ɑː
L00S26W00P03	k
L00S27W00P00	b
L00S27W00P01	r
L00S27W00P02	a
L00S27W00P03	ɳː
L00S27W00P04	ʂ
L00S28W00P00	b
L00S28W00P01	r
L00S28W00P02	eː
L00S28W00P03	v
L00S29W00P00	b
L00S29W00P01	r
L00S29W00P02	ɪ
L00S29W00P03	sː
L00S29W00P04	t
L00S30W00P00	b
L00S30W00P01	r
L00S30W00P02	uː
L00S30W00P03	r
L00S31W00P00	b
L00S31W00P01	r
L00S31W00P02	ɔ
L00S31W00P03	sː
L00S31W00P04	k
L00S32W00P00	b
L00S32W00P01	r
L00S32W00P02	ʉː
L00S32W00P03	d
L00S33W00P00	b
L00S33W00P01	r
L00S33W00P02	ʉː
L00S33W00P03	k
L00S34W00P00	b
L00S34W00P01	r
L00S34W00P02	yː
L00S35W00P00	b
L00S35W00P01	r
L00S35W00P02	ʏ
L00S35W00P03	dː
L00S36W00P00	b
L00S36W00P01	r
L00S36W00P02	ʏ
L00S36W00P03	sː
L00S36W00P04	k
L00S37W00P00	b
L00S37W00P01	r
L00S37W00P02	oː
L00S37W00P03	d
L00S38W00P00	b
L00S38W00P01	r
L00S38W00P02	oː
L00S38W00P03	k
L00S39W00P00	b
L00S39W00P01	r
L00S39W00P02	øː
L00S39W00P03	d
L00S40W00P00	b
L00S40W00P01	r
L00S40W00P02	øː
L00S40W00P03	t
L00S41W00P00	b
L00S41W00P01	ʉː
L00S41W00P02	d
L00S42W00P00	b
L00S42W00P01	ʉː
L00S42W00P02	k
