Id	Spelling	Transcription
C	C	C
L00S00	agg	[ ˈ a ɡː]
L00S01	akt	[ ˈ a kː t]
L00S02	arg	[ ˈ a rː ʝ]
L00S03	arm	[ ˈ a rː m]
L00S04	arv	[ ˈ a rː v]
L00S05	bak	[ b ˈ ɑː k]
L00S06	barr	[ b ˈ a rː]
L00S07	besk	[ b ˈ ɛ̝ sː k]
L00S08	bet	[ b ˈ eː t]
L00S09	bitsk	[ b ˈ ɪ tː s k]
L00S10	blek	[ b l ˈ eː k]
L00S11	blod	[ b l ˈ uː d]
L00S12	blond	[ b l ˈ ɔ nː d]
L00S13	bloss	[ b l ˈ ɔ sː]
L00S14	bluff	[ b l ˈ ɵ fː]
L00S15	blyg	[ b l ˈ yː ɡ]
L00S16	blåst	[ b l ˈ oː s t]
L00S17	blöt	[ b l ˈ øː t]
L00S18	bock	[ b ˈ ɔ kː]
L00S19	boll	[ b ˈ ɔ lː]
L00S20	bord	[ b ˈ uː ɖ]
L00S21	borr	[ b ˈ ɔ rː]
L00S22	borst	[ b ˈ ɔ ʂː ʈ]
L00S23	bot	[ b ˈ uː t]
L00S24	bov	[ b ˈ uː v]
L00S25	bragd	[ b r ˈ a ɡː d]
L00S26	brak	[ b r ˈ ɑː k]
L00S27	bransch	[ b r ˈ a ɳː ʂ]
L00S28	brev	[ b r ˈ eː v]
L00S29	brist	[ b r ˈ ɪ sː t]
L00S30	bror	[ b r ˈ uː r]
L00S31	brosk	[ b r ˈ ɔ sː k]
L00S32	brud	[ b r ˈ ʉː d]
L00S33	bruk	[ b r ˈ ʉː k]
L00S34	bry	[ b r ˈ yː]
L00S35	brydd	[ b r ˈ ʏ dː]
L00S36	brysk	[ b r ˈ ʏ sː k]
L00S37	bråd	[ b r ˈ oː d]
L00S38	bråk	[ b r ˈ oː k]
L00S39	bröd	[ b r ˈ øː d]
L00S40	bröt	[ b r ˈ øː t]
L00S41	bud	[ b ˈ ʉː d]
L00S42	buk	[ b ˈ ʉː k]
L00S43	bukt	[ b ˈ ɵ kː t]
L00S44	bunt	[ b ˈ ɵ nː t]
L00S45	burk	[ b ˈ ɵ rː k]
L00S46	bus	[ b ˈ ʉː s]
L00S47	buss	[ b ˈ ɵ sː]
L00S48	bås	[ b ˈ oː s]
L00S49	bänk	[ b ˈ ɛ̝ ŋː k]
L00S50	böjd	[ b ˈ ø̞ ʝː d]
L00S51	böld	[ b ˈ ø̞ lː d]
L00S52	chark	[ ɧ ˈ a rː k]
L00S53	charm	[ ɧ ˈ a rː m]
L00S54	chatt	[ ɕ ˈ a tː]
L00S55	chef	[ ɧ ˈ eː f]
L00S56	chips	[ ɕ ˈ ɪ pː s]
L00S57	chock	[ ɧ ˈ ɔ kː]
L00S58	clown	[ k l ˈ a͡uː n]
L00S59	darr	[ d ˈ a rː]
L00S60	deg	[ d ˈ eː ɡ]
L00S61	dejt	[ d ˈ ɛ̝ ʝː t]
L00S62	dikt	[ d ˈ ɪ kː t]
L00S63	dill	[ d ˈ ɪ lː]
L00S64	djup	[ ʝ ˈ ʉː p]
L00S65	doft	[ d ˈ ɔ fː t]
L00S66	dold	[ d ˈ oː l d]
L00S67	dop	[ d ˈ uː p]
L00S68	dopp	[ d ˈ ɔ pː]
L00S69	dov	[ d ˈ oː v]
L00S70	drag	[ d r ˈ ɑː ɡ]
L00S71	dras	[ d r ˈ ɑː s]
L00S72	drev	[ d r ˈ eː v]
L00S73	dricks	[ d r ˈ ɪ kː s]
L00S74	drift	[ d r ˈ ɪ fː t]
L00S75	drill	[ d r ˈ ɪ lː]
L00S76	drink	[ d r ˈ ɪ ŋː k]
L00S77	driv	[ d r ˈ iː v]
L00S78	dryck	[ d r ˈ ʏ kː]
L00S79	dryg	[ d r ˈ yː ɡ]
L00S80	dräkt	[ d r ˈ ɛ̝ kː t]
L00S81	dröm	[ d r ˈ ø̞ mː]
L00S82	drömsk	[ d r ˈ ø̞ mː s k]
L00S83	duk	[ d ˈ ʉː k]
L00S84	dun	[ d ˈ ʉː n]
L00S85	dunk	[ d ˈ ɵ ŋː k]
L00S86	dur	[ d ˈ ʉː r]
L00S87	dusch	[ d ˈ ɵ ʂː]
L00S88	dygd	[ d ˈ ʏ ɡː d]
L00S89	dygn	[ d ˈ ʏ ŋː n]
L00S90	dåd	[ d ˈ oː d]
L00S91	dån	[ d ˈ oː n]
L00S92	däck	[ d ˈ ɛ̝ kː]
L00S93	dömd	[ d ˈ ø̞ mː d]
L00S94	dörr	[ d ˈ ø̞ rː]
L00S95	fack	[ f ˈ a kː]
L00S96	falsk	[ f ˈ a lː s k]
L00S97	famn	[ f ˈ a mː n]
L00S98	far	[ f ˈ ɑː r]
L00S99	fart	[ f ˈ ɑː ʈ]
L00S100	fat	[ f ˈ ɑː t]
L00S101	feg	[ f ˈ eː ɡ]
L00S102	fejd	[ f ˈ ɛ̝ ʝː d]
L00S103	fett	[ f ˈ ɛ̝ tː]
