// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SwedishPB23		SwedishPB23	False

List	L00	SwedishPB23	Inspelningslista 1	False
Sentence	L00S00	L00	Sentence00	False
Word	L00S00W00	L00S00	agg	False
Phoneme	L00S00W00P00	L00S00W00	a	False
Phoneme	L00S00W00P01	L00S00W00	ɡː	False
Sentence	L00S01	L00	Sentence01	False
Word	L00S01W00	L00S01	akt	False
Phoneme	L00S01W00P00	L00S01W00	a	False
Phoneme	L00S01W00P01	L00S01W00	kː	False
Phoneme	L00S01W00P02	L00S01W00	t	False
Sentence	L00S02	L00	Sentence02	False
Word	L00S02W00	L00S02	arg	False
Phoneme	L00S02W00P00	L00S02W00	a	False
Phoneme	L00S02W00P01	L00S02W00	rː	False
Phoneme	L00S02W00P02	L00S02W00	ʝ	False
Sentence	L00S03	L00	Sentence03	False
Word	L00S03W00	L00S03	arm	False
Phoneme	L00S03W00P00	L00S03W00	a	False
Phoneme	L00S03W00P01	L00S03W00	rː	False
Phoneme	L00S03W00P02	L00S03W00	m	False
Sentence	L00S04	L00	Sentence04	False
Word	L00S04W00	L00S04	arv	False
Phoneme	L00S04W00P00	L00S04W00	a	False
Phoneme	L00S04W00P01	L00S04W00	rː	False
Phoneme	L00S04W00P02	L00S04W00	v	False
Sentence	L00S05	L00	Sentence05	False
Word	L00S05W00	L00S05	bak	False
Phoneme	L00S05W00P00	L00S05W00	b	False
Phoneme	L00S05W00P01	L00S05W00	ɑː	False
Phoneme	L00S05W00P02	L00S05W00	k	False
Sentence	L00S06	L00	Sentence06	False
Word	L00S06W00	L00S06	barr	False
Phoneme	L00S06W00P00	L00S06W00	b	False
Phoneme	L00S06W00P01	L00S06W00	a	False
Phoneme	L00S06W00P02	L00S06W00	rː	False
Sentence	L00S07	L00	Sentence07	False
Word	L00S07W00	L00S07	besk	False
Phoneme	L00S07W00P00	L00S07W00	b	False
Phoneme	L00S07W00P01	L00S07W00	ɛ̝	False
Phoneme	L00S07W00P02	L00S07W00	sː	False
Phoneme	L00S07W00P03	L00S07W00	k	False
Sentence	L00S08	L00	Sentence08	False
Word	L00S08W00	L00S08	bet	False
Phoneme	L00S08W00P00	L00S08W00	b	False
Phoneme	L00S08W00P01	L00S08W00	eː	False
Phoneme	L00S08W00P02	L00S08W00	t	False
Sentence	L00S09	L00	Sentence09	False
Word	L00S09W00	L00S09	bitsk	False
Phoneme	L00S09W00P00	L00S09W00	b	False
Phoneme	L00S09W00P01	L00S09W00	ɪ	False
Phoneme	L00S09W00P02	L00S09W00	tː	False
Phoneme	L00S09W00P03	L00S09W00	s	False
Phoneme	L00S09W00P04	L00S09W00	k	False
Sentence	L00S10	L00	Sentence10	False
Word	L00S10W00	L00S10	blek	False
Phoneme	L00S10W00P00	L00S10W00	b	False
Phoneme	L00S10W00P01	L00S10W00	l	False
Phoneme	L00S10W00P02	L00S10W00	eː	False
Phoneme	L00S10W00P03	L00S10W00	k	False
Sentence	L00S11	L00	Sentence11	False
Word	L00S11W00	L00S11	blod	False
Phoneme	L00S11W00P00	L00S11W00	b	False
Phoneme	L00S11W00P01	L00S11W00	l	False
Phoneme	L00S11W00P02	L00S11W00	uː	False
Phoneme	L00S11W00P03	L00S11W00	d	False
Sentence	L00S12	L00	Sentence12	False
Word	L00S12W00	L00S12	blond	False
Phoneme	L00S12W00P00	L00S12W00	b	False
Phoneme	L00S12W00P01	L00S12W00	l	False
Phoneme	L00S12W00P02	L00S12W00	ɔ	False
Phoneme	L00S12W00P03	L00S12W00	nː	False
Phoneme	L00S12W00P04	L00S12W00	d	False
Sentence	L00S13	L00	Sentence13	False
Word	L00S13W00	L00S13	bloss	False
Phoneme	L00S13W00P00	L00S13W00	b	False
Phoneme	L00S13W00P01	L00S13W00	l	False
Phoneme	L00S13W00P02	L00S13W00	ɔ	False
Phoneme	L00S13W00P03	L00S13W00	sː	False
Sentence	L00S14	L00	Sentence14	False
Word	L00S14W00	L00S14	bluff	False
Phoneme	L00S14W00P00	L00S14W00	b	False
Phoneme	L00S14W00P01	L00S14W00	l	False
Phoneme	L00S14W00P02	L00S14W00	ɵ	False
Phoneme	L00S14W00P03	L00S14W00	fː	False
Sentence	L00S15	L00	Sentence15	False
Word	L00S15W00	L00S15	blyg	False
Phoneme	L00S15W00P00	L00S15W00	b	False
Phoneme	L00S15W00P01	L00S15W00	l	False
Phoneme	L00S15W00P02	L00S15W00	yː	False
Phoneme	L00S15W00P03	L00S15W00	ɡ	False
Sentence	L00S16	L00	Sentence16	False
Word	L00S16W00	L00S16	blåst	False
Phoneme	L00S16W00P00	L00S16W00	b	False
Phoneme	L00S16W00P01	L00S16W00	l	False
Phoneme	L00S16W00P02	L00S16W00	oː	False
Phoneme	L00S16W00P03	L00S16W00	s	False
Phoneme	L00S16W00P04	L00S16W00	t	False
Sentence	L00S17	L00	Sentence17	False
Word	L00S17W00	L00S17	blöt	False
Phoneme	L00S17W00P00	L00S17W00	b	False
Phoneme	L00S17W00P01	L00S17W00	l	False
Phoneme	L00S17W00P02	L00S17W00	øː	False
Phoneme	L00S17W00P03	L00S17W00	t	False
Sentence	L00S18	L00	Sentence18	False
Word	L00S18W00	L00S18	bock	False
Phoneme	L00S18W00P00	L00S18W00	b	False
Phoneme	L00S18W00P01	L00S18W00	ɔ	False
Phoneme	L00S18W00P02	L00S18W00	kː	False
Sentence	L00S19	L00	Sentence19	False
Word	L00S19W00	L00S19	boll	False
Phoneme	L00S19W00P00	L00S19W00	b	False
Phoneme	L00S19W00P01	L00S19W00	ɔ	False
Phoneme	L00S19W00P02	L00S19W00	lː	False
Sentence	L00S20	L00	Sentence20	False
Word	L00S20W00	L00S20	bord	False
Phoneme	L00S20W00P00	L00S20W00	b	False
Phoneme	L00S20W00P01	L00S20W00	uː	False
Phoneme	L00S20W00P02	L00S20W00	ɖ	False
Sentence	L00S21	L00	Sentence21	False
Word	L00S21W00	L00S21	borr	False
Phoneme	L00S21W00P00	L00S21W00	b	False
Phoneme	L00S21W00P01	L00S21W00	ɔ	False
Phoneme	L00S21W00P02	L00S21W00	rː	False
Sentence	L00S22	L00	Sentence22	False
Word	L00S22W00	L00S22	borst	False
Phoneme	L00S22W00P00	L00S22W00	b	False
Phoneme	L00S22W00P01	L00S22W00	ɔ	False
Phoneme	L00S22W00P02	L00S22W00	ʂː	False
Phoneme	L00S22W00P03	L00S22W00	ʈ	False
Sentence	L00S23	L00	Sentence23	False
Word	L00S23W00	L00S23	bot	False
Phoneme	L00S23W00P00	L00S23W00	b	False
Phoneme	L00S23W00P01	L00S23W00	uː	False
Phoneme	L00S23W00P02	L00S23W00	t	False
Sentence	L00S24	L00	Sentence24	False
Word	L00S24W00	L00S24	bov	False
Phoneme	L00S24W00P00	L00S24W00	b	False
Phoneme	L00S24W00P01	L00S24W00	uː	False
Phoneme	L00S24W00P02	L00S24W00	v	False
Sentence	L00S25	L00	Sentence25	False
Word	L00S25W00	L00S25	bragd	False
Phoneme	L00S25W00P00	L00S25W00	b	False
Phoneme	L00S25W00P01	L00S25W00	r	False
Phoneme	L00S25W00P02	L00S25W00	a	False
Phoneme	L00S25W00P03	L00S25W00	ɡː	False
Phoneme	L00S25W00P04	L00S25W00	d	False
Sentence	L00S26	L00	Sentence26	False
Word	L00S26W00	L00S26	brak	False
Phoneme	L00S26W00P00	L00S26W00	b	False
Phoneme	L00S26W00P01	L00S26W00	r	False
Phoneme	L00S26W00P02	L00S26W00	ɑː	False
Phoneme	L00S26W00P03	L00S26W00	k	False
Sentence	L00S27	L00	Sentence27	False
Word	L00S27W00	L00S27	bransch	False
Phoneme	L00S27W00P00	L00S27W00	b	False
Phoneme	L00S27W00P01	L00S27W00	r	False
Phoneme	L00S27W00P02	L00S27W00	a	False
Phoneme	L00S27W00P03	L00S27W00	ɳː	False
Phoneme	L00S27W00P04	L00S27W00	ʂ	False
Sentence	L00S28	L00	Sentence28	False
Word	L00S28W00	L00S28	brev	False
Phoneme	L00S28W00P00	L00S28W00	b	False
Phoneme	L00S28W00P01	L00S28W00	r	False
Phoneme	L00S28W00P02	L00S28W00	eː	False
Phoneme	L00S28W00P03	L00S28W00	v	False
Sentence	L00S29	L00	Sentence29	False
Word	L00S29W00	L00S29	brist	False
Phoneme	L00S29W00P00	L00S29W00	b	False
Phoneme	L00S29W00P01	L00S29W00	r	False
Phoneme	L00S29W00P02	L00S29W00	ɪ	False
Phoneme	L00S29W00P03	L00S29W00	sː	False
Phoneme	L00S29W00P04	L00S29W00	t	False
Sentence	L00S30	L00	Sentence30	False
Word	L00S30W00	L00S30	bror	False
Phoneme	L00S30W00P00	L00S30W00	b	False
Phoneme	L00S30W00P01	L00S30W00	r	False
Phoneme	L00S30W00P02	L00S30W00	uː	False
Phoneme	L00S30W00P03	L00S30W00	r	False
Sentence	L00S31	L00	Sentence31	False
Word	L00S31W00	L00S31	brosk	False
Phoneme	L00S31W00P00	L00S31W00	b	False
Phoneme	L00S31W00P01	L00S31W00	r	False
Phoneme	L00S31W00P02	L00S31W00	ɔ	False
Phoneme	L00S31W00P03	L00S31W00	sː	False
Phoneme	L00S31W00P04	L00S31W00	k	False
Sentence	L00S32	L00	Sentence32	False
Word	L00S32W00	L00S32	brud	False
Phoneme	L00S32W00P00	L00S32W00	b	False
Phoneme	L00S32W00P01	L00S32W00	r	False
Phoneme	L00S32W00P02	L00S32W00	ʉː	False
Phoneme	L00S32W00P03	L00S32W00	d	False
Sentence	L00S33	L00	Sentence33	False
Word	L00S33W00	L00S33	bruk	False
Phoneme	L00S33W00P00	L00S33W00	b	False
Phoneme	L00S33W00P01	L00S33W00	r	False
Phoneme	L00S33W00P02	L00S33W00	ʉː	False
Phoneme	L00S33W00P03	L00S33W00	k	False
Sentence	L00S34	L00	Sentence34	False
Word	L00S34W00	L00S34	bry	False
Phoneme	L00S34W00P00	L00S34W00	b	False
Phoneme	L00S34W00P01	L00S34W00	r	False
Phoneme	L00S34W00P02	L00S34W00	yː	False
Sentence	L00S35	L00	Sentence35	False
Word	L00S35W00	L00S35	brydd	False
Phoneme	L00S35W00P00	L00S35W00	b	False
Phoneme	L00S35W00P01	L00S35W00	r	False
Phoneme	L00S35W00P02	L00S35W00	ʏ	False
Phoneme	L00S35W00P03	L00S35W00	dː	False
Sentence	L00S36	L00	Sentence36	False
Word	L00S36W00	L00S36	brysk	False
