Id	Spelling	Transcription	IsKeyComponent
C	C	C	N
L00S00W00	agg	 ˈ a ɡː	0
L00S01W00	akt	 ˈ a kː t	0
L00S02W00	arg	 ˈ a rː ʝ	0
L00S03W00	arm	 ˈ a rː m	0
L00S04W00	arv	 ˈ a rː v	0
L00S05W00	bak	 b ˈ ɑː k	0
L00S06W00	barr	 b ˈ a rː	0
L00S07W00	besk	 b ˈ ɛ̝ sː k	0
L00S08W00	bet	 b ˈ eː t	0
L00S09W00	bitsk	 b ˈ ɪ tː s k	0
L00S10W00	blek	 b l ˈ eː k	0
L00S11W00	blod	 b l ˈ uː d	0
L00S12W00	blond	 b l ˈ ɔ nː d	0
L00S13W00	bloss	 b l ˈ ɔ sː	0
L00S14W00	bluff	 b l ˈ ɵ fː	0
L00S15W00	blyg	 b l ˈ yː ɡ	0
L00S16W00	blåst	 b l ˈ oː s t	0
L00S17W00	blöt	 b l ˈ øː t	0
L00S18W00	bock	 b ˈ ɔ kː	0
L00S19W00	boll	 b ˈ ɔ lː	0
L00S20W00	bord	 b ˈ uː ɖ	0
L00S21W00	borr	 b ˈ ɔ rː	0
L00S22W00	borst	 b ˈ ɔ ʂː ʈ	0
L00S23W00	bot	 b ˈ uː t	0
L00S24W00	bov	 b ˈ uː v	0
L00S25W00	bragd	 b r ˈ a ɡː d	0
L00S26W00	brak	 b r ˈ ɑː k	0
L00S27W00	bransch	 b r ˈ a ɳː ʂ	0
L00S28W00	brev	 b r ˈ eː v	0
L00S29W00	brist	 b r ˈ ɪ sː t	0
L00S30W00	bror	 b r ˈ uː r	0
L00S31W00	brosk	 b r ˈ ɔ sː k	0
L00S32W00	brud	 b r ˈ ʉː d	0
L00S33W00	bruk	 b r ˈ ʉː k	0
L00S34W00	bry	 b r ˈ yː	0
L00S35W00	brydd	 b r ˈ ʏ dː	0
L00S36W00	brysk	 b r ˈ ʏ sː k	0
L00S37W00	bråd	 b r ˈ oː d	0
L00S38W00	bråk	 b r ˈ oː k	0
L00S39W00	bröd	 b r ˈ øː d	0
L00S40W00	bröt	 b r ˈ øː t	0
L00S41W00	bud	 b ˈ ʉː d	0
L00S42W00	buk	 b ˈ ʉː k	0
L00S43W00	bukt	 b ˈ ɵ kː t	0
L00S44W00	bunt	 b ˈ ɵ nː t	0
L00S45W00	burk	 b ˈ ɵ rː k	0
L00S46W00	bus	 b ˈ ʉː s	0
L00S47W00	buss	 b ˈ ɵ sː	0
L00S48W00	bås	 b ˈ oː s	0
L00S49W00	bänk	 b ˈ ɛ̝ ŋː k	0
L00S50W00	böjd	 b ˈ ø̞ ʝː d	0
L00S51W00	böld	 b ˈ ø̞ lː d	0
L00S52W00	chark	 ɧ ˈ a rː k	0
L00S53W00	charm	 ɧ ˈ a rː m	0
L00S54W00	chatt	 ɕ ˈ a tː	0
L00S55W00	chef	 ɧ ˈ eː f	0
L00S56W00	chips	 ɕ ˈ ɪ pː s	0
L00S57W00	chock	 ɧ ˈ ɔ kː	0
L00S58W00	clown	 k l ˈ a͡uː n	0
L00S59W00	darr	 d ˈ a rː	0
L00S60W00	deg	 d ˈ eː ɡ	0
L00S61W00	dejt	 d ˈ ɛ̝ ʝː t	0
L00S62W00	dikt	 d ˈ ɪ kː t	0
L00S63W00	dill	 d ˈ ɪ lː	0
L00S64W00	djup	 ʝ ˈ ʉː p	0
L00S65W00	doft	 d ˈ ɔ fː t	0
L00S66W00	dold	 d ˈ oː l d	0
L00S67W00	dop	 d ˈ uː p	0
L00S68W00	dopp	 d ˈ ɔ pː	0
L00S69W00	dov	 d ˈ oː v	0
L00S70W00	drag	 d r ˈ ɑː ɡ	0
L00S71W00	dras	 d r ˈ ɑː s	0
L00S72W00	drev	 d r ˈ eː v	0
L00S73W00	dricks	 d r ˈ ɪ kː s	0
L00S74W00	drift	 d r ˈ ɪ fː t	0
L00S75W00	drill	 d r ˈ ɪ lː	0
L00S76W00	drink	 d r ˈ ɪ ŋː k	0
L00S77W00	driv	 d r ˈ iː v	0
L00S78W00	dryck	 d r ˈ ʏ kː	0
L00S79W00	dryg	 d r ˈ yː ɡ	0
L00S80W00	dräkt	 d r ˈ ɛ̝ kː t	0
L00S81W00	dröm	 d r ˈ ø̞ mː	0
L00S82W00	drömsk	 d r ˈ ø̞ mː s k	0
L00S83W00	duk	 d ˈ ʉː k	0
L00S84W00	dun	 d ˈ ʉː n	0
L00S85W00	dunk	 d ˈ ɵ ŋː k	0
L00S86W00	dur	 d ˈ ʉː r	0
L00S87W00	dusch	 d ˈ ɵ ʂː	0
L00S88W00	dygd	 d ˈ ʏ ɡː d	0
L00S89W00	dygn	 d ˈ ʏ ŋː n	0
L00S90W00	dåd	 d ˈ oː d	0
L00S91W00	dån	 d ˈ oː n	0
L00S92W00	däck	 d ˈ ɛ̝ kː	0
L00S93W00	dömd	 d ˈ ø̞ mː d	0
L00S94W00	dörr	 d ˈ ø̞ rː	0
L00S95W00	fack	 f ˈ a kː	0
L00S96W00	falsk	 f ˈ a lː s k	0
L00S97W00	famn	 f ˈ a mː n	0
L00S98W00	far	 f ˈ ɑː r	0
L00S99W00	fart	 f ˈ ɑː ʈ	0
L00S100W00	fat	 f ˈ ɑː t	0
L00S101W00	feg	 f ˈ eː ɡ	0
L00S102W00	fejd	 f ˈ ɛ̝ ʝː d	0
L00S103W00	fett	 f ˈ ɛ̝ tː	0
L00S104W00	fik	 f ˈ iː k	0
L00S105W00	fil	 f ˈ iː l	0
L00S106W00	filt	 f ˈ ɪ lː t	0
L00S107W00	fisk	 f ˈ ɪ sː k	0
L00S108W00	fjun	 f ʝ ˈ ʉː n	0
L00S109W00	fjäsk	 f ʝ ˈ ɛ̝ sː k	0
L00S110W00	flak	 f l ˈ ɑː k	0
L00S111W00	flams	 f l ˈ a mː s	0
L00S112W00	flank	 f l ˈ a ŋː k	0
L00S113W00	flik	 f l ˈ iː k	0
L00S114W00	flin	 f l ˈ iː n	0
L00S115W00	flit	 f l ˈ iː t	0
L00S116W00	flock	 f l ˈ ɔ kː	0
L00S117W00	fly	 f l ˈ yː	0
L00S118W00	flyt	 f l ˈ yː t	0
L00S119W00	flytt	 f l ˈ ʏ tː	0
L00S120W00	flå	 f l ˈ oː	0
L00S121W00	flås	 f l ˈ oː s	0
L00S122W00	fläck	 f l ˈ ɛ̝ kː	0
L00S123W00	fläsk	 f l ˈ ɛ̝ sː k	0
L00S124W00	flöjt	 f l ˈ ø̞ ʝː t	0
L00S125W00	fnatt	 f n ˈ a tː	0
L00S126W00	fniss	 f n ˈ ɪ sː	0
L00S127W00	fog	 f ˈ uː ɡ	0
L00S128W00	fond	 f ˈ ɔ nː d	0
L00S129W00	fot	 f ˈ uː t	0
L00S130W00	frack	 f r ˈ a kː	0
L00S131W00	frakt	 f r ˈ a kː t	0
L00S132W00	fru	 f r ˈ ʉː	0
L00S133W00	frukt	 f r ˈ ɵ kː t	0
L00S134W00	frys	 f r ˈ yː s	0
L00S135W00	fryst	 f r ˈ yː s t	0
