ID	Alternatives	Spelling
C	C	C
L00S00	mark, märk, mörk	mark
L00S01	mark, märk, mörk	mörk
L00S02	fyr, skyr, syr	skyr
L00S03	fyr, skyr, syr	syr
L00S04	mark, märk, mörk	märk
L00S05	fyr, skyr, syr	fyr
L00S06	tuff, tuss, tusch	tusch
L00S07	kil, fil, sil	fil
L00S08	tuff, tuss, tusch	tuff
L00S09	kil, fil, sil	sil
L00S10	kil, fil, sil	kil
L00S11	tuff, tuss, tusch	tuss
L00S12	sitt, sytt, sött	sytt
L00S13	fyr, skyr, syr	syr
L00S14	fyr, skyr, syr	fyr
L00S15	sitt, sytt, sött	sitt
L00S16	sitt, sytt, sött	sött
L00S17	fyr, skyr, syr	skyr
L00S18	mark, märk, mörk	märk
L00S19	kil, fil, sil	sil
L00S20	kil, fil, sil	kil
L00S21	kil, fil, sil	fil
L00S22	mark, märk, mörk	mörk
L00S23	mark, märk, mörk	mark
L00S24	sitt, sytt, sött	sitt
L00S25	tuff, tuss, tusch	tuss
L00S26	sitt, sytt, sött	sött
L00S27	sitt, sytt, sött	sytt
L00S28	tuff, tuss, tusch	tuff
L00S29	tuff, tuss, tusch	tusch
L01S00	fyr, skyr, syr	fyr
L01S01	fyr, skyr, syr	syr
L01S02	mark, märk, mörk	märk
L01S03	mark, märk, mörk	mörk
L01S04	mark, märk, mörk	mark
L01S05	fyr, skyr, syr	skyr
L01S06	kil, fil, sil	sil
L01S07	kil, fil, sil	kil
L01S08	tuff, tuss, tusch	tuss
L01S09	kil, fil, sil	fil
L01S10	tuff, tuss, tusch	tusch
L01S11	tuff, tuss, tusch	tuff
L01S12	sitt, sytt, sött	sitt
L01S13	fyr, skyr, syr	skyr
L01S14	sitt, sytt, sött	sött
L01S15	sitt, sytt, sött	sytt
L01S16	fyr, skyr, syr	fyr
L01S17	fyr, skyr, syr	syr
L01S18	kil, fil, sil	fil
L01S19	mark, märk, mörk	mark
L01S20	mark, märk, mörk	mörk
L01S21	kil, fil, sil	sil
L01S22	mark, märk, mörk	märk
L01S23	kil, fil, sil	kil
L01S24	sitt, sytt, sött	sytt
L01S25	tuff, tuss, tusch	tuff
L01S26	tuff, tuss, tusch	tusch
L01S27	tuff, tuss, tusch	tuss
L01S28	sitt, sytt, sött	sött
L01S29	sitt, sytt, sött	sitt
L02S00	mark, märk, mörk	märk
L02S01	fyr, skyr, syr	fyr
L02S02	fyr, skyr, syr	syr
L02S03	mark, märk, mörk	mark
L02S04	mark, märk, mörk	mörk
L02S05	fyr, skyr, syr	skyr
L02S06	kil, fil, sil	sil
L02S07	tuff, tuss, tusch	tuss
L02S08	kil, fil, sil	kil
L02S09	kil, fil, sil	fil
L02S10	tuff, tuss, tusch	tuff
L02S11	tuff, tuss, tusch	tusch
L02S12	sitt, sytt, sött	sött
L02S13	fyr, skyr, syr	skyr
L02S14	sitt, sytt, sött	sitt
L02S15	fyr, skyr, syr	syr
L02S16	sitt, sytt, sött	sytt
L02S17	fyr, skyr, syr	fyr
L02S18	mark, märk, mörk	mörk
L02S19	kil, fil, sil	fil
L02S20	mark, märk, mörk	mark
L02S21	kil, fil, sil	kil
L02S22	mark, märk, mörk	märk
L02S23	kil, fil, sil	sil
L02S24	tuff, tuss, tusch	tuff
L02S25	tuff, tuss, tusch	tusch
L02S26	sitt, sytt, sött	sytt
L02S27	sitt, sytt, sött	sött
L02S28	tuff, tuss, tusch	tuss
L02S29	sitt, sytt, sött	sitt
L03S00	fyr, skyr, syr	syr
L03S01	mark, märk, mörk	märk
L03S02	fyr, skyr, syr	fyr
L03S03	mark, märk, mörk	mark
L03S04	fyr, skyr, syr	skyr
L03S05	mark, märk, mörk	mörk
L03S06	kil, fil, sil	kil
L03S07	kil, fil, sil	sil
L03S08	tuff, tuss, tusch	tuss
L03S09	tuff, tuss, tusch	tusch
L03S10	tuff, tuss, tusch	tuff
L03S11	kil, fil, sil	fil
L03S12	fyr, skyr, syr	skyr
L03S13	sitt, sytt, sött	sött
L03S14	sitt, sytt, sött	sitt
L03S15	sitt, sytt, sött	sytt
L03S16	fyr, skyr, syr	syr
L03S17	fyr, skyr, syr	fyr
L03S18	mark, märk, mörk	mörk
L03S19	mark, märk, mörk	mark
L03S20	kil, fil, sil	fil
L03S21	kil, fil, sil	kil
L03S22	mark, märk, mörk	märk
L03S23	kil, fil, sil	sil
L03S24	tuff, tuss, tusch	tuff
L03S25	sitt, sytt, sött	sytt
L03S26	tuff, tuss, tusch	tusch
L03S27	sitt, sytt, sött	sött
L03S28	sitt, sytt, sött	sitt
L03S29	tuff, tuss, tusch	tuss
