2023-11-11 15:40:13
Method name: CalculateMaskerSpectrumLevels
dBSPL to  FS difference used :100
Filter specifications (Critical bands based on the SII standard):
Band	CentreFrequency	LowerFrequencyLimit	UpperFrequencyLimit	Bandwidth	ActualLowerLimitFrequency	ActualUpperLimitFrequency
1	150	100	200	100	105,46875	199,21875
2	250	200	300	100	205,078125	298,828125
3	350	300	400	100	304,6875	398,4375
4	450	400	510	110	404,296875	509,765625
5	570	510	630	120	515,625	626,953125
6	700	630	770	140	632,8125	767,578125
7	840	770	920	150	773,4375	919,921875
8	1000	920	1080	160	925,78125	1078,125
9	1170	1080	1270	190	1083,984375	1265,625
10	1370	1270	1480	210	1271,484375	1476,5625
11	1600	1480	1720	240	1482,421875	1716,796875
12	1850	1720	2000	280	1722,65625	1998,046875
13	2150	2000	2320	320	2003,90625	2314,453125
14	2500	2320	2700	380	2320,3125	2695,3125
15	2900	2700	3150	450	2701,171875	3146,484375
16	3400	3150	3700	550	3152,34375	3697,265625
17	4000	3700	4400	700	3703,125	4394,53125
18	4800	4400	5300	900	4400,390625	5296,875
19	5800	5300	6400	1100	5302,734375	6398,4375
20	7000	6400	7700	1300	6404,296875	7699,21875
21	8500	7700	9500	1800	7705,078125	9498,046875
