Id	Transcription
C	C
L01S01W01P01	k
L01S01W01P02	l
L01S01W01P03	ɑː
L01S01W01P04	s
L01S02W01P01	k
L01S02W01P02	l
L01S02W01P03	ɛː
L01S02W01P04	s
L01S03W01P01	k
L01S03W01P02	l
L01S03W01P03	øː
L01S03W01P04	s
L02S01W01P01	b
L02S01W01P02	l
L02S01W01P03	a
L02S01W01P04	nː
L02S01W01P05	d
L02S02W01P01	b
L02S02W01P02	l
L02S02W01P03	ɔ
L02S02W01P04	nː
L02S02W01P05	d
L02S03W01P01	b
L02S03W01P02	l
L02S03W01P03	ɵ
L02S03W01P04	nː
L02S03W01P05	d
L03S01W01P01	∅
L03S01W01P02	eː
L03S01W01P03	d
L03S02W01P01	l
L03S02W01P02	eː
L03S02W01P03	d
L03S03W01P01	n
L03S03W01P02	eː
L03S03W01P03	d
L04S01W01P01	p
L04S01W01P02	iː
L04S01W01P03	r
L04S02W01P01	p
L04S02W01P02	ʉː
L04S02W01P03	r
L04S03W01P01	p
L04S03W01P02	yː
L04S03W01P03	r
L05S01W01P01	s
L05S01W01P02	ɛ̝
L05S01W01P03	tː
L05S02W01P01	s
L05S02W01P02	ɪ
L05S02W01P03	tː
L05S03W01P01	s
L05S03W01P02	ʏ
L05S03W01P03	tː
L06S01W01P01	s
L06S01W01P02	ɪ
L06S01W01P03	tː
L06S02W01P01	s
L06S02W01P02	ʏ
L06S02W01P03	tː
L06S03W01P01	s
L06S03W01P02	ø̞
L06S03W01P03	tː
L07S01W01P01	h
L07S01W01P02	a
L07S01W01P03	lː
L07S02W01P01	p
L07S02W01P02	a
L07S02W01P03	lː
L07S03W01P01	t
L07S03W01P02	a
L07S03W01P03	lː
L08S01W01P01	r
L08S01W01P02	eː
L08S01W01P03	s
L08S02W01P01	r
L08S02W01P02	iː
L08S02W01P03	s
L08S03W01P01	r
L08S03W01P02	øː
L08S03W01P03	s
L09S01W01P01	s
L09S01W01P02	a
L09S01W01P03	tː
L09S02W01P01	s
L09S02W01P02	ɛ̝
L09S02W01P03	tː
L09S03W01P01	s
L09S03W01P02	ø̞
L09S03W01P03	tː
L10S01W01P01	m
L10S01W01P02	oː
L10S01W01P03	r
L10S02W01P01	m
L10S02W01P02	uː
L10S02W01P03	r
L10S03W01P01	m
L10S03W01P02	ʉː
L10S03W01P03	r
L11S01W01P01	m
L11S01W01P02	ɑː
L11S01W01P03	s
L11S02W01P01	m
L11S02W01P02	oː
L11S02W01P03	s
L11S03W01P01	m
L11S03W01P02	øː
L11S03W01P03	s
L12S01W01P01	p
L12S01W01P02	a
L12S01W01P03	ʝː
L12S02W01P01	p
L12S02W01P02	a
L12S02W01P03	lː
L12S03W01P01	p
L12S03W01P02	a
L12S03W01P03	ŋː
L13S01W01P01	b
L13S01W01P02	ʉː
L13S01W01P03	r
L13S02W01P01	d
L13S02W01P02	ʉː
L13S02W01P03	r
L13S03W01P01	m
L13S03W01P02	ʉː
L13S03W01P03	r
L14S01W01P01	t
L14S01W01P02	ɵ
L14S01W01P03	ɡː
L14S02W01P01	t
L14S02W01P02	ɵ
L14S02W01P03	mː
L14S03W01P01	t
L14S03W01P02	ɵ
L14S03W01P03	ŋː
L15S01W01P01	ɕ
L15S01W01P02	iː
L15S01W01P03	l
L15S02W01P01	f
L15S02W01P02	iː
L15S02W01P03	l
L15S03W01P01	s
L15S03W01P02	iː
L15S03W01P03	l
L16S01W01P01	k
L16S01W01P02	v
L16S01W01P03	ɑː
L16S01W01P04	l
L16S02W01P01	k
L16S02W01P02	v
L16S02W01P03	ɑː
L16S02W01P04	ɳ
L16S03W01P01	k
L16S03W01P02	v
L16S03W01P03	ɑː
L16S03W01P04	v
L17S01W01P01	m
L17S01W01P02	a
L17S01W01P03	rː
L17S01W01P04	k
L17S02W01P01	m
L17S02W01P02	æ
L17S02W01P03	rː
L17S02W01P04	k
L17S03W01P01	m
L17S03W01P02	œ
L17S03W01P03	rː
L17S03W01P04	k
L18S01W01P01	f
L18S01W01P02	a
L18S01W01P03	rː
L18S01W01P04	m
L18S02W01P01	ɧ
L18S02W01P02	a
L18S02W01P03	rː
L18S02W01P04	m
L18S03W01P01	l
L18S03W01P02	a
L18S03W01P03	rː
L18S03W01P04	m
L19S01W01P01	k
L19S01W01P02	v
L19S01W01P03	ɑː
L19S01W01P04	l
L19S02W01P01	k
