DbId	Spelling	SpellingAFC	Transcription	TranscriptionAFC	PNDP	PP	Z
C	C	C	C	C	N	N	N
L01S01	Klas	klas	k l ˈ ɑː s	k l ˈ ɑː s	0,082	0,9086	3,4765
L01S02	kläs	kläs	k l ˈ ɛː s	k l ˈ ɛː s	0,08	0,9134	3,1123
L01S03	klös	klös	k l ˈ øː s	k l ˈ øː s	0,074	0,9044	2,5414
L02S01	bland	bland	b l ˈ a nː d	b l ˈ a nː d	0,163	0,958	5,4731
L02S02	blond	blond	b l ˈ ɔ nː d	b l ˈ ɔ nː d	0,143	0,9304	4,1403
L02S03	blund	blund	b l ˈ ɵ nː d	b l ˈ ɵ nː d	0,135	0,9492	3,5792
L03S01	ed	ed	∅ ˈ eː d	ˈ eː d	0,041	0,9534	3,5713
L03S02	led	led	l ˈ eː d	l ˈ eː d	0,046	0,9535	4,0818
L03S03	ned	ned	n ˈ eː d	n ˈ eː d	0,069	0,9517	4,9098
L04S01	pir	pir	p ˈ iː r	p ˈ iː r	0,043	0,8733	2,3607
L04S02	pur	pur	p ˈ ʉː r	p ˈ ʉː r	0,031	0,8686	2,5874
L04S03	pyr	pyr	p ˈ yː r	p ˈ yː r	0,039	0,8419	2,5152
L05S01	sätt	sätt	s ˈ ɛ̝ tː	s ˈ ɛ̝ tː	0,041	0,9796	5,6152
L05S02	sitt	sitt	s ˈ ɪ tː	s ˈ ɪ tː	0,051	0,9504	5,5433
L05S03	sytt	sytt	s ˈ ʏ tː	s ˈ ʏ tː	0,059	0,9209	3,734
L06S01	sitt	sitt	s ˈ ɪ tː	s ˈ ɪ tː	0,051	0,9504	5,5433
L06S02	sytt	sytt	s ˈ ʏ tː	s ˈ ʏ tː	0,059	0,9209	3,734
L06S03	sött	sött	s ˈ ø̞ tː	s ˈ ø̞ tː	0,062	0,9307	4,5083
L07S01	hall	hall	h ˈ a lː	h ˈ a lː	0,032	0,9655	4,0187
L07S02	pall	pall	p ˈ a lː	p ˈ a lː	0,041	0,93	3,6077
L07S03	tall	tall	t ˈ a lː	t ˈ a lː	0,031	0,9472	3,3842
L08S01	res	res	r ˈ eː s	r ˈ eː s	0,031	0,8941	3,0978
L08S02	ris	ris	r ˈ iː s	r ˈ iː s	0,041	0,9216	4,4159
L08S03	rös	rös	r ˈ øː s	r ˈ øː s	0,026	0,8933	2,9027
L09S01	satt	satt	s ˈ a tː	s ˈ a tː	0,047	0,9807	5,4425
L09S02	sätt	sätt	s ˈ ɛ̝ tː	s ˈ ɛ̝ tː	0,041	0,9796	5,6152
L09S03	sött	sött	s ˈ ø̞ tː	s ˈ ø̞ tː	0,062	0,9307	4,5083
L10S01	mår	mår	m ˈ oː r	m ˈ oː r	0,043	0,9339	5,2103
L10S02	mor	mor	m ˈ uː r	m ˈ uː r	0,043	0,9456	4,5301
L10S03	mur	mur	m ˈ ʉː r	m ˈ ʉː r	0,036	0,9034	3,3891
L11S01	mas	mas	m ˈ ɑː s	m ˈ ɑː s	0,023	0,913	2,5321
L11S02	mås	mås	m ˈ oː s	m ˈ oː s	0,028	0,8958	2,8549
L11S03	mös	mös	m ˈ øː s	m ˈ øː s	0,047	0,8947	3,7527
L12S01	paj	paj	p ˈ a ʝː	p ˈ a ʝː	0,061	0,8976	3,9946
L12S02	pall	pall	p ˈ a lː	p ˈ a lː	0,041	0,93	3,6077
L12S03	pang	pang	p ˈ a ŋː	p ˈ a ŋː	0,048	0,8888	3,6756
L13S01	bur	bur	b ˈ ʉː r	b ˈ ʉː r	0,034	0,9047	3,5078
L13S02	dur	dur	d ˈ ʉː r	d ˈ ʉː r	0,026	0,9433	2,4491
L13S03	mur	mur	m ˈ ʉː r	m ˈ ʉː r	0,036	0,9034	3,3891
L14S01	tugg	tugg	t ˈ ɵ ɡː	t ˈ ɵ ɡː	0,042	0,8846	2,6528
L14S02	tum	tum	t ˈ ɵ mː	t ˈ ɵ mː	0,045	0,919	3,548
L14S03	tung	tung	t ˈ ɵ ŋː	t ˈ ɵ ŋː	0,056	0,9083	4,3376
L15S01	kil	kil	ɕ ˈ iː l	ɕ ˈ iː l	0,041	0,8684	3,0914
L15S02	fil	fil	f ˈ iː l	f ˈ iː l	0,053	0,8994	3,9862
L15S03	sil	sil	s ˈ iː l	s ˈ iː l	0,033	0,9143	3,0239
L16S01	kval	kval	k v ˈ ɑː l	k v ˈ ɑː l	0,111	0,9316	3,3862
L16S02	kvarn	kvarn	k v ˈ ɑː ɳ	k v ˈ ɑː ɳ	0,176	0,9265	3,7511
