// Setup
SequentiallyOrderedLists = False
SequentiallyOrderedSentences = False
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True

// Presets // Preset selection is based on the value of PrimaryStringRepresentation, and are added on the specified PresetLevel. Each PresetLevel component is only added once.
PresetLevel = List
Preset = Måttlig_A: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
Preset = Måttlig_B_Fallande: tuff_tuss_tusch, sopp_sått_sort, kval_kvarn_kvav, fyr_skyr_syr
Preset = Grav_A: sarg_sorg_sörj, mår_mor_mur, hyf_hys_hyrs, kval_kvarn_kvar, tugg_tum_tung
Preset = Grav_B_Fallande: mark_märk_mörk, farm_charm_larm, red_räd_Ryd, ed_led_ned, sock_sått_sort
Preset = Alla ord: // If left empty all components (except practise components) are added
Preset = Kil-fil-sil: kil_fil_sil
Preset = Farm-charm-larm: farm_charm_larm
Preset = IHeAR_CS: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
//Preset = BSIM experiment (temporary): kil_fil_sil, fyr_skyr_syr, mår_mor_mur, rått_rott_rött
Preset = QuickSiP: mark_märk_mörk, fyr_skyr_syr, sitt_sytt_sött, kil_fil_sil, tuff_tuss_tusch
ContrastPreset = Konsonanter: ∅, b, ɕ, d, f, fː, ɡː, h, ɧ, ʝ, ʝː, k, kː, l, lː, m, mː, n, ɳ, nː, ŋː, p, pː, r, rː, s, ʂ, sː, ʂː, t, tː, ʈː, v
ContrastPreset = Tonlösa konsonanter: ɕ, f, fː, h, ɧ, k, kː, p, pː, s, ʂ, sː, ʂː, t, tː, ʈː
ContrastPreset = Vokaler: a, ɑː, æ, ɔ, eː, ɛ̝, ɛː, ɪ, iː, ɵ, oː, œ, ʊ, uː, ʉː, ʏ, yː, ø̞, øː

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SipTest		The Swedish SiP-test	False

List	L01	SipTest	Klas_kläs_klös	False
Sentence	L01S01	L01	Klas	False
Word	L01S01W01	L01S01	Klas	False
Phoneme	L01S01W01P01	L01S01W01	k	False
Phoneme	L01S01W01P02	L01S01W01	l	False
Phoneme	L01S01W01P03	L01S01W01	ɑː	False
Phoneme	L01S01W01P04	L01S01W01	s	False
Sentence	L01S02	L01	kläs	False
Word	L01S02W01	L01S02	kläs	False
Phoneme	L01S02W01P01	L01S02W01	k	False
Phoneme	L01S02W01P02	L01S02W01	l	False
Phoneme	L01S02W01P03	L01S02W01	ɛː	False
Phoneme	L01S02W01P04	L01S02W01	s	False
Sentence	L01S03	L01	klös	False
Word	L01S03W01	L01S03	klös	False
Phoneme	L01S03W01P01	L01S03W01	k	False
Phoneme	L01S03W01P02	L01S03W01	l	False
Phoneme	L01S03W01P03	L01S03W01	øː	False
Phoneme	L01S03W01P04	L01S03W01	s	False

List	L02	SipTest	bland_blond_blund	False
Sentence	L02S01	L02	bland	False
Word	L02S01W01	L02S01	bland	False
Phoneme	L02S01W01P01	L02S01W01	b	False
Phoneme	L02S01W01P02	L02S01W01	l	False
Phoneme	L02S01W01P03	L02S01W01	a	False
Phoneme	L02S01W01P04	L02S01W01	nː	False
Phoneme	L02S01W01P05	L02S01W01	d	False
Sentence	L02S02	L02	blond	False
Word	L02S02W01	L02S02	blond	False
Phoneme	L02S02W01P01	L02S02W01	b	False
Phoneme	L02S02W01P02	L02S02W01	l	False
Phoneme	L02S02W01P03	L02S02W01	ɔ	False
Phoneme	L02S02W01P04	L02S02W01	nː	False
Phoneme	L02S02W01P05	L02S02W01	d	False
Sentence	L02S03	L02	blund	False
Word	L02S03W01	L02S03	blund	False
Phoneme	L02S03W01P01	L02S03W01	b	False
Phoneme	L02S03W01P02	L02S03W01	l	False
Phoneme	L02S03W01P03	L02S03W01	ɵ	False
Phoneme	L02S03W01P04	L02S03W01	nː	False
