Id	Lc_ag
C	N
L00S00	-17,8542940595574
L00S01	-11,8734903430215
L00S02	-13,2877093884854
L00S03	-13,2680477462681
L00S04	-11,4941491497108
L00S05	-15,1277289109768
L00S06	-15,4863708654002
L00S07	-14,4829068322925
L00S08	-14,1615757711535
L00S09	-15,9540032981285
L00S10	-12,2110992657421
L00S11	-11,0540627644782
L00S12	-11,6315958669519
L00S13	-11,8177743636623
L00S14	-15,567607617871
L00S15	-13,5181856935121
L00S16	-12,1374589577295
L00S17	-14,0583102147357
L00S18	-14,5192082512633
L00S19	-15,5138617272937
L00S20	-14,565036624044
L00S21	-16,6163373238249
L00S22	-11,8145074123641
L00S23	-14,4958988870505
L00S24	-15,2224030563365
L01S00	NaN
L01S01	NaN
L01S02	NaN
L01S03	NaN
L01S04	NaN
L01S05	NaN
L01S06	NaN
L01S07	NaN
L01S08	NaN
L01S09	NaN
L01S10	NaN
L01S11	NaN
L01S12	NaN
L01S13	NaN
L01S14	NaN
L01S15	NaN
L01S16	NaN
L01S17	NaN
L01S18	NaN
L01S19	NaN
L01S20	NaN
L01S21	NaN
L01S22	NaN
L01S23	NaN
L01S24	NaN
L02S00	NaN
L02S01	NaN
L02S02	NaN
L02S03	NaN
L02S04	NaN
L02S05	NaN
L02S06	NaN
L02S07	NaN
L02S08	NaN
L02S09	NaN
L02S10	NaN
L02S11	NaN
L02S12	NaN
L02S13	NaN
L02S14	NaN
L02S15	NaN
L02S16	NaN
L02S17	NaN
L02S18	NaN
L02S19	NaN
L02S20	NaN
L02S21	NaN
L02S22	NaN
L02S23	NaN
L02S24	NaN
L03S00	NaN
L03S01	NaN
L03S02	NaN
L03S03	NaN
L03S04	NaN
L03S05	NaN
L03S06	NaN
L03S07	NaN
L03S08	NaN
L03S09	NaN
L03S10	NaN
L03S11	NaN
L03S12	NaN
L03S13	NaN
L03S14	NaN
L03S15	NaN
L03S16	NaN
L03S17	NaN
L03S18	NaN
L03S19	NaN
L03S20	NaN
L03S21	NaN
L03S22	NaN
L03S23	NaN
L03S24	NaN
L04S00	NaN
L04S01	NaN
L04S02	NaN
L04S03	NaN
L04S04	NaN
L04S05	NaN
L04S06	NaN
L04S07	NaN
L04S08	NaN
L04S09	NaN
L04S10	NaN
L04S11	NaN
L04S12	NaN
L04S13	NaN
L04S14	NaN
L04S15	NaN
L04S16	NaN
L04S17	NaN
L04S18	NaN
L04S19	NaN
L04S20	NaN
L04S21	NaN
L04S22	NaN
L04S23	NaN
L04S24	NaN
L05S00	NaN
L05S01	NaN
L05S02	NaN
L05S03	NaN
L05S04	NaN
L05S05	NaN
L05S06	NaN
L05S07	NaN
L05S08	NaN
L05S09	NaN
L05S10	NaN
L05S11	NaN
L05S12	NaN
L05S13	NaN
L05S14	NaN
L05S15	NaN
L05S16	NaN
L05S17	NaN
L05S18	NaN
L05S19	NaN
L05S20	NaN
L05S21	NaN
L05S22	NaN
L05S23	NaN
L05S24	NaN
L06S00	NaN
L06S01	NaN
L06S02	NaN
L06S03	NaN
L06S04	NaN
L06S05	NaN
L06S06	NaN
L06S07	NaN
L06S08	NaN
L06S09	NaN
L06S10	NaN
L06S11	NaN
L06S12	NaN
L06S13	NaN
L06S14	NaN
L06S15	NaN
L06S16	NaN
L06S17	NaN
L06S18	NaN
L06S19	NaN
L06S20	NaN
L06S21	NaN
L06S22	NaN
L06S23	NaN
L06S24	NaN
L07S00	NaN
L07S01	NaN
L07S02	NaN
L07S03	NaN
L07S04	NaN
L07S05	NaN
L07S06	NaN
L07S07	NaN
L07S08	NaN
L07S09	NaN
L07S10	NaN
L07S11	NaN
L07S12	NaN
L07S13	NaN
L07S14	NaN
L07S15	NaN
L07S16	NaN
L07S17	NaN
L07S18	NaN
L07S19	NaN
L07S20	NaN
L07S21	NaN
L07S22	NaN
L07S23	NaN
L07S24	NaN
