Id	Transcription
C	C
L00S00W00P00	b
L00S00W00P01	ʉː
L00S00W00P02	d
L00S00W00P03	s
L00S00W00P04	k
L00S00W00P05	ɑː
L00S00W00P06	p
L00S01W00P00	d
L00S01W00P01	a
L00S01W00P02	nː
L00S01W00P03	s
L00S01W00P04	ɡ
L00S01W00P05	ɔ
L00S01W00P06	lː
L00S01W00P07	v
L00S02W00P00	eː
L00S02W00P01	n
L00S02W00P02	h
L00S02W00P03	eː
L00S02W00P04	t
L00S03W00P00	f
L00S03W00P01	ɛ̝
L00S03W00P02	sː
L00S03W00P03	t
L00S03W00P04	m
L00S03W00P05	a
L00S03W00P06	nː
L00S04W00P00	h
L00S04W00P01	a
L00S04W00P02	nː
L00S04W00P03	d
L00S04W00P04	ʉː
L00S04W00P05	k
L00S05W00P00	h
L00S05W00P01	eː
L00S05W00P02	l
L00S05W00P03	d
L00S05W00P04	ɑː
L00S05W00P05	ɡ
L00S06W00P00	ʝ
L00S06W00P01	ɛ̝
L00S06W00P02	lː
L00S06W00P03	p
L00S06W00P04	s
L00S06W00P05	a
L00S06W00P06	mː
L00S07W00P00	h
L00S07W00P01	ʉː
L00S07W00P02	s
L00S07W00P03	ʝ
L00S07W00P04	ʉː
L00S07W00P05	r
L00S08W00P00	ɪ
L00S08W00P01	ŋː
L00S08W00P02	k
L00S08W00P03	ɔ
L00S08W00P04	mː
L00S08W00P05	s
L00S08W00P06	t
L00S09W00P00	ɪ
L00S09W00P01	nː
L00S09W00P02	l
L00S09W00P03	a
L00S09W00P04	ɡː
L00S09W00P05	d
L00S10W00P00	ʝ
L00S10W00P01	uː
L00S10W00P02	ɖ
L00S10W00P03	b
L00S10W00P04	r
L00S10W00P05	ʉː
L00S10W00P06	k
L00S11W00P00	k
L00S11W00P01	r
L00S11W00P02	a
L00S11W00P03	fː
L00S11W00P04	t
L00S11W00P05	f
L00S11W00P06	ɵ
L00S11W00P07	lː
L00S12W00P00	l
L00S12W00P01	eː
L00S12W00P02	k
L00S12W00P03	f
L00S12W00P04	ɵ
L00S12W00P05	lː
L00S13W00P00	l
L00S13W00P01	ɛ̝
L00S13W00P02	tː
L00S13W00P03	h
L00S13W00P04	eː
L00S13W00P05	t
L00S14W00P00	m
L00S14W00P01	ɑː
L00S14W00P02	t
L00S14W00P03	s
L00S14W00P04	ɑː
L00S14W00P05	l
L00S15W00P00	s
L00S15W00P01	k
L00S15W00P02	uː
L00S15W00P03	l
L00S15W00P04	t
L00S15W00P05	iː
L00S15W00P06	d
L00S16W00P00	s
L00S16W00P01	ɔ
L00S16W00P02	fː
L00S16W00P03	b
L00S16W00P04	uː
L00S16W00P05	ɖ
L00S17W00P00	s
L00S17W00P01	oː
L00S17W00P02	v
L00S17W00P03	r
L00S17W00P04	ɵ
L00S17W00P05	mː
L00S18W00P00	t
L00S18W00P01	ɪ
L00S18W00P02	lː
L00S18W00P03	ɡ
L00S18W00P04	ɔ
L00S18W00P05	ŋː
L00S19W00P00	t
L00S19W00P01	ɪ
L00S19W00P02	lː
L00S19W00P03	t
L00S19W00P04	r
L00S19W00P05	uː
L00S20W00P00	t
L00S20W00P01	r
L00S20W00P02	oː
L00S20W00P03	d
L00S20W00P04	l
L00S20W00P05	øː
L00S20W00P06	s
L00S21W00P00	t
L00S21W00P01	ɛ̝
L00S21W00P02	ŋː
L00S21W00P03	k
L00S21W00P04	b
L00S21W00P05	ɑː
L00S21W00P06	r
L00S22W00P00	ɵ
L00S22W00P01	pː
L00S22W00P02	n
L00S22W00P03	oː
L00S23W00P00	ʉː
L00S23W00P01	t
L00S23W00P02	ɡ
L00S23W00P03	ɔ
L00S23W00P04	ŋː
L00S24W00P00	v
L00S24W00P01	ɛ̝
L00S24W00P02	rː
L00S24W00P03	k
L00S24W00P04	t
L00S24W00P05	yː
L00S24W00P06	ɡ
L01S00W00P00	b
L01S00W00P01	ɑː
L01S00W00P02	ɳ
L01S00W00P03	v
L01S00W00P04	a
L01S00W00P05	kː
L01S00W00P06	t
L01S01W00P00	s
L01S01W00P01	l
L01S01W00P02	ʉː
L01S01W00P03	t
L01S01W00P04	s
L01S01W00P05	ɔ
L01S01W00P06	lː
L01S01W00P07	t
L01S02W00P00	ɡ
L01S02W00P01	uː
L01S02W00P02	d
L01S02W00P03	ɕ
L01S02W00P04	ɛ̝
L01S02W00P05	nː
L01S02W00P06	d
L01S03W00P00	h
L01S03W00P01	øː
L01S03W00P02	ɡ
L01S03W00P03	ʝ
L01S03W00P04	ɵ
L01S03W00P05	dː
L01S04W00P00	f
L01S04W00P01	a
L01S04W00P02	rː
L01S04W00P03	b
L01S04W00P04	r
L01S04W00P05	ʊ
L01S04W00P06	rː
L01S05W00P00	ɑː
L01S05W00P01	v
L01S05W00P02	s
L01S05W00P03	n
L01S05W00P04	ɪ
L01S05W00P05	tː
L01S06W00P00	l
L01S06W00P01	a
L01S06W00P02	nː
L01S06W00P03	d
L01S06W00P04	s
L01S06W00P05	v
L01S06W00P06	ɛː
L01S06W00P07	ɡ
L01S07W00P00	ɕ
L01S07W00P01	yː
L01S07W00P02	l
L01S07W00P03	s
L01S07W00P04	k
L01S07W00P05	oː
L01S07W00P06	p
L01S08W00P00	ʉː
L01S08W00P01	t
L01S08W00P02	r
L01S08W00P03	ʏ
L01S08W00P04	kː
L01S09W00P00	p
L01S09W00P01	a
L01S09W00P02	rː
L01S09W00P03	k
L01S09W00P04	b
L01S09W00P05	ɛ̝
L01S09W00P06	ŋː
L01S09W00P07	k
L01S10W00P00	ɪ
L01S10W00P01	nː
L01S10W00P02	h
L01S10W00P03	ɔ
L01S10W00P04	pː
L01S11W00P00	t
L01S11W00P01	ɵ
L01S11W00P02	pː
L01S11W00P03	l
L01S11W00P04	ʉː
L01S11W00P05	r
L01S12W00P00	b
L01S12W00P01	l
L01S12W00P02	uː
L01S12W00P03	d
L01S12W00P04	t
L01S12W00P05	r
L01S12W00P06	ʏ
L01S12W00P07	kː
L01S13W00P00	s
L01S13W00P01	p
L01S13W00P02	ɛː
L01S13W00P03	d
L01S13W00P04	b
L01S13W00P05	ɑː
L01S13W00P06	ɳ
L01S14W00P00	ɕ
L01S14W00P01	øː
L01S14W00P02	r
L01S14W00P03	k
L01S14W00P04	ʊ
L01S14W00P05	ʈː
L01S15W00P00	b
L01S15W00P01	iː
L01S15W00P02	d
L01S15W00P03	r
L01S15W00P04	ɑː
L01S15W00P05	ɡ
L01S16W00P00	øː
L01S16W00P01	ɳ
L01S16W00P02	ɡ
L01S16W00P03	ɔ
L01S16W00P04	tː
L01S17W00P00	d
L01S17W00P01	ʊ
L01S17W00P02	mː
L01S17W00P03	s
L01S17W00P04	t
L01S17W00P05	uː
L01S17W00P06	l
L01S18W00P00	ɡ
L01S18W00P01	l
L01S18W00P02	ɑː
L01S18W00P03	s
L01S18W00P04	b
L01S18W00P05	ɵ
L01S18W00P06	rː
L01S18W00P07	k
L01S19W00P00	t
L01S19W00P01	ɪ
L01S19W00P02	lː
L01S19W00P03	s
L01S19W00P04	ɛ̝
L01S19W00P05	tː
L01S20W00P00	k
L01S20W00P01	ʊ
L01S20W00P02	ʈː
L01S20W00P03	ʂ
L01S20W00P04	p
L01S20W00P05	eː
L01S20W00P06	l
L01S21W00P00	f
L01S21W00P01	ɛ̝
L01S21W00P02	sː
L01S21W00P03	t
L01S21W00P04	m
L01S21W00P05	øː
L01S22W00P00	ɑː
L01S22W00P01	v
L01S22W00P02	s
L01S22W00P03	l
L01S22W00P04	ʉː
L01S22W00P05	t
L01S23W00P00	n
L01S23W00P01	ɛː
L01S23W00P02	r
L01S23W00P03	h
L01S23W00P04	eː
L01S23W00P05	t
L01S24W00P00	m
L01S24W00P01	uː
L01S24W00P02	t
L01S24W00P03	v
L01S24W00P04	ɪ
L01S24W00P05	nː
L01S24W00P06	d
L02S00W00P00	l
L02S00W00P01	ɪ
L02S00W00P02	fː
L02S00W00P03	s
L02S00W00P04	t
L02S00W00P05	iː
L02S00W00P06	l
L02S01W00P00	ɑː
L02S01W00P01	v
L02S01W00P02	t
L02S01W00P03	ɑː
L02S01W00P04	l
L02S02W00P00	b
L02S02W00P01	ɑː
L02S02W00P02	ɳ
L02S02W00P03	b
L02S02W00P04	uː
L02S02W00P05	k
L02S03W00P00	h
L02S03W00P01	ʉː
L02S03W00P02	s
L02S03W00P03	b
L02S03W00P04	iː
L02S03W00P05	l
L02S04W00P00	ʝ
L02S04W00P01	ɛ̝
L02S04W00P02	mː
L02S04W00P03	l
L02S04W00P04	iː
L02S04W00P05	k
L02S04W00P06	t
L02S05W00P00	f
L02S05W00P01	øː
L02S05W00P02	ɳ
L02S05W00P03	a
L02S05W00P04	mː
L02S05W00P05	n
L02S06W00P00	n
L02S06W00P01	eː
L02S06W00P02	d
L02S06W00P03	s
L02S06W00P04	t
L02S06W00P05	ɛ̝
L02S06W00P06	mː
L02S06W00P07	d
L02S07W00P00	ʉː
L02S07W00P01	t
L02S07W00P02	s
L02S07W00P03	k
L02S07W00P04	ɔ
L02S07W00P05	tː
L02S08W00P00	m
L02S08W00P01	iː
L02S08W00P02	d
L02S08W00P03	n
L02S08W00P04	a
L02S08W00P05	tː
L02S09W00P00	ɪ
L02S09W00P01	nː
L02S09W00P02	s
L02S09W00P03	t
L02S09W00P04	ɛ̝
L02S09W00P05	lː
L02S09W00P06	d
L02S10W00P00	l
L02S10W00P01	a
L02S10W00P02	nː
L02S10W00P03	d
L02S10W00P04	s
L02S10W00P05	l
L02S10W00P06	ɑː
L02S10W00P07	ɡ
L02S11W00P00	ɵ
L02S11W00P01	pː
L02S11W00P02	r
L02S11W00P03	øː
L02S11W00P04	ɖ
L02S12W00P00	s
L02S12W00P01	p
L02S12W00P02	a
L02S12W00P03	nː
L02S12W00P04	m
L02S12W00P05	oː
L02S12W00P06	l
L02S13W00P00	b
L02S13W00P01	r
L02S13W00P02	ɛ̝
L02S13W00P03	mː
L02S13W00P04	b
L02S13W00P05	ɔ
L02S13W00P06	lː
L02S14W00P00	l
L02S14W00P01	ɛː
L02S14W00P02	ɖ
L02S14W00P03	ʊ
L02S14W00P04	mː
L02S15W00P00	s
L02S15W00P01	m
L02S15W00P02	ɑː
L02S15W00P03	k
L02S15W00P04	r
L02S15W00P05	oː
L02S15W00P06	d
