Id	Spelling	Transcription
C	C	C
L00S00	Budskap	[ b ² ʉː d . s k ˌ ɑː p ]
L00S01	Dansgolv	[ d ² a nː s . ɡ ˌ ɔ lː v ]
L00S02	Enhet	[ ² eː n . h ˌ eː t ]
L00S03	Fästman	[ f ² ɛ̝ sː t . m ˌ a nː ]
L00S04	Handduk	[ h ² a nː . d ˌ ʉː k ]
L00S05	Heldag	[ h ² eː l . d ˌ ɑː ɡ ]
L00S06	Hjälpsam	[ ʝ ² ɛ̝ lː p . s ˌ a mː ]
L00S07	Husdjur	[ h ² ʉː s . ʝ ˌ ʉː r ]
L00S08	Inkomst	[ ² ɪ ŋː . k ˌ ɔ mː s t ]
L00S09	Inlagd	[ ² ɪ nː . l ˌ a ɡː d ]
L00S10	Jordbruk	[ ʝ ² uː ɖ . b r ˌ ʉː k ]
L00S11	Kraftfull	[ k r ² a fː t . f ˌ ɵ lː ]
L00S12	Lekfull	[ l ² eː k . f ˌ ɵ lː ]
L00S13	Lätthet	[ l ² ɛ̝ tː . h ˌ eː t ]
L00S14	Matsal	[ m ² ɑː t . s ˌ ɑː l ]
L00S15	Skoltid	[ s k ² uː l . t ˌ iː d ]
L00S16	Soffbord	[ s ² ɔ fː . b ˌ uː ɖ ]
L00S17	Sovrum	[ s ² oː v . r ˌ ɵ mː ]
L00S18	Tillgång	[ t ² ɪ lː . ɡ ˌ ɔ ŋː ]
L00S19	Tilltro	[ t ² ɪ lː . t r ˌ uː ]
L00S20	Trådlös	[ t r ² oː d . l ˌ øː s ]
L00S21	Tänkbar	[ t ² ɛ̝ ŋː k . b ˌ ɑː r ]
L00S22	Uppnå	[ ² ɵ pː . n ˌ oː ]
L00S23	Utgång	[ ² ʉː t . ɡ ˌ ɔ ŋː ]
L00S24	Verktyg	[ v ² ɛ̝ rː k . t ˌ yː ɡ ]
L01S00	Barnvakt	[ b ² ɑː ɳ . v ˌ a kː t ]
L01S01	Slutsålt	[ s l ² ʉː t . s ˌ ɔ lː t ]
L01S02	Godkänd	[ ɡ ² uː d . ɕ ˌ ɛ̝ nː d ]
L01S03	Högljudd	[ h ² øː ɡ . ʝ ˌ ɵ dː ]
L01S04	Farbror	[ f ² a rː . b r ˌ ʊ rː ]
L01S05	Avsnitt	[ ² ɑː v . s n ˌ ɪ tː ]
L01S06	Landsväg	[ l ² a nː d s . v ˌ ɛː ɡ ]
L01S07	Kylskåp	[ ɕ ² yː l . s k ˌ oː p ]
L01S08	Uttryck	[ ² ʉː . t r ˌ ʏ kː ]
L01S09	Parkbänk	[ p ² a rː k . b ˌ ɛ̝ ŋː k ]
L01S10	Inhopp	[ ² ɪ nː . h ˌ ɔ pː ]
L01S11	Tupplur	[ t ² ɵ pː . l ˌ ʉː r ]
L01S12	Blodtryck	[ b l ² uː d . t r ˌ ʏ kː ]
L01S13	Spädbarn	[ s p ² ɛː d . b ˌ ɑː ɳ ]
L01S14	Körkort	[ ɕ ² øː r . k ˌ ʊ ʈː ]
L01S15	Bidrag	[ b ² iː . d r ˌ ɑː ɡ ]
L01S16	Örngott	[ ² øː ɳ . ɡ ˌ ɔ tː ]
L01S17	Domstol	[ d ² ʊ mː . s t ˌ uː l ]
L01S18	Glasburk	[ ɡ l ² ɑː s . b ˌ ɵ rː k ]
L01S19	Tillsätt	[ t ² ɪ lː . s ˌ ɛ̝ tː ]
L01S20	Kortspel	[ k ² ʊ ʈː . ʂ p ˌ eː l ]
L01S21	Fästmö	[ f ² ɛ̝ sː t . m ˌ øː ]
L01S22	Avslut	[ ² ɑː v . s l ˌ ʉː t ]
L01S23	Närhet	[ n ² ɛː r . h ˌ eː t ]
L01S24	Motvind	[ m ² uː t . v ˌ ɪ nː d ]
L02S00	Livsstil	[ l ² ɪ fː . s t ˌ iː l ]
L02S01	Avtal	[ ² ɑː v . t ˌ ɑː l ]
L02S02	Barnbok	[ b ² ɑː ɳ . b ˌ uː k ]
L02S03	Husbil	[ h ² ʉː s . b ˌ iː l ]
L02S04	Jämlikt	[ ʝ ² ɛ̝ mː . l ˌ iː k t ]
L02S05	Förnamn	[ f ² øː . ɳ ˌ a mː n ]
L02S06	Nedstämd	[ n ² eː d . s t ˌ ɛ̝ mː d ]
L02S07	Utskott	[ ² ʉː t . s k ˌ ɔ tː ]
L02S08	Midnatt	[ m ² iː d . n ˌ a tː ]
L02S09	Inställd	[ ² ɪ nː . s t ˌ ɛ̝ lː d ]
L02S10	Landslag	[ l ² a nː d s . l ˌ ɑː ɡ ]
L02S11	Upprörd	[ ² ɵ pː . r ˌ øː ɖ ]
L02S12	Spannmål	[ s p ² a nː . m ˌ oː l ]
L02S13	Brännboll	[ b r ² ɛ̝ mː . b ˌ ɔ lː ]
L02S14	Lärdom	[ l ² ɛː . ɖ ˌ ʊ mː ]
L02S15	Smakråd	[ s m ² ɑː k . r ˌ oː d ]
L02S16	Upptåg	[ ² ɵ pː . t ˌ oː ɡ ]
L02S17	Klassrum	[ k l ² a sː . r ˌ ɵ mː ]
L02S18	Fritid	[ f r ² iː . t ˌ iː d ]
L02S19	Delvis	[ d ² eː l . v ˌ iː s ]
L02S20	Halvår	[ h ² a lː v . ˌ oː r ]
L02S21	Dumhet	[ d ² ɵ mː . h ˌ eː t ]
L02S22	Framgång	[ f r ² a mː . ɡ ˌ ɔ ŋː ]
L02S23	Badhus	[ b ² ɑː d . h ˌ ʉː s ]
L02S24	Tunnbröd	[ t ² ɵ mː . b r ˌ øː d ]
L03S00	Delge	[ d ² eː l . ʝ ˌ eː ]
L03S01	Hjärtslag	[ ʝ ² ɛ̝ ʈː . ʂ ɭ ˌ ɑː ɡ ]
L03S02	Villkor	[ v ² ɪ lː . k ˌ oː r ]
L03S03	Utsatt	[ ² ʉː t . s ˌ a tː ]
L03S04	Årstid	[ ² oː ʂ . ʈ ˌ iː d ]
L03S05	Livrädd	[ l ² iː v . r ˌ ɛ̝ dː ]
L03S06	Kunskap	[ k ² ɵ nː . s k ˌ ɑː p ]
L03S07	Livslängd	[ l ² ɪ fː s . l ˌ ɛ̝ ŋː d ]
L03S08	Klockrent	[ k l ² ɔ kː . r ˌ eː n t ]
L03S09	Noggrann	[ n ² uː . ɡ r ˌ a nː ]
L03S10	Grundlag	[ ɡ r ² ɵ nː d . l ˌ ɑː ɡ ]
L03S11	Läppstift	[ l ² ɛ̝ pː . s t ˌ ɪ fː t ]
L03S12	Flickvän	[ f l ² ɪ kː . v ˌ ɛ̝ nː ]
L03S13	Maträtt	[ m ² ɑː t . r ˌ ɛ̝ tː ]
L03S14	Skönhet	[ ɧ ² øː n . h ˌ eː t ]
L03S15	Tidskrift	[ t ² iː d . s k r ˌ ɪ fː t ]
L03S16	Avbröt	[ ² ɑː v . b r ˌ øː t ]
L03S17	Kundvagn	[ k ² ɵ nː d . v ˌ a ŋː n ]
L03S18	Avfall	[ ² ɑː v . f ˌ a lː ]
L03S19	Småkryp	[ s m ² oː . k r ˌ yː p ]
L03S20	Anställd	[ ² a nː . s t ˌ ɛ̝ lː d ]
L03S21	Använt	[ ² a ɱː . v ˌ ɛ̝ nː t ]
