// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Spondees 23		Swedish Spondees 23	False

List	L00	Swedish Spondees 23	Lista 1	False
Sentence	L00S00	L00	Sentence00	False
Word	L00S00W00	L00S00	Budskap	False
Phoneme	L00S00W00P00	L00S00W00	b	False
Phoneme	L00S00W00P01	L00S00W00	ʉː	False
Phoneme	L00S00W00P02	L00S00W00	d	False
Phoneme	L00S00W00P03	L00S00W00	s	False
Phoneme	L00S00W00P04	L00S00W00	k	False
Phoneme	L00S00W00P05	L00S00W00	ɑː	False
Phoneme	L00S00W00P06	L00S00W00	p	False
Sentence	L00S01	L00	Sentence01	False
Word	L00S01W00	L00S01	Dansgolv	False
Phoneme	L00S01W00P00	L00S01W00	d	False
Phoneme	L00S01W00P01	L00S01W00	a	False
Phoneme	L00S01W00P02	L00S01W00	nː	False
Phoneme	L00S01W00P03	L00S01W00	s	False
Phoneme	L00S01W00P04	L00S01W00	ɡ	False
Phoneme	L00S01W00P05	L00S01W00	ɔ	False
Phoneme	L00S01W00P06	L00S01W00	lː	False
Phoneme	L00S01W00P07	L00S01W00	v	False
Sentence	L00S02	L00	Sentence02	False
Word	L00S02W00	L00S02	Enhet	False
Phoneme	L00S02W00P00	L00S02W00	eː	False
Phoneme	L00S02W00P01	L00S02W00	n	False
Phoneme	L00S02W00P02	L00S02W00	h	False
Phoneme	L00S02W00P03	L00S02W00	eː	False
Phoneme	L00S02W00P04	L00S02W00	t	False
Sentence	L00S03	L00	Sentence03	False
Word	L00S03W00	L00S03	Fästman	False
Phoneme	L00S03W00P00	L00S03W00	f	False
Phoneme	L00S03W00P01	L00S03W00	ɛ̝	False
Phoneme	L00S03W00P02	L00S03W00	sː	False
Phoneme	L00S03W00P03	L00S03W00	t	False
Phoneme	L00S03W00P04	L00S03W00	m	False
Phoneme	L00S03W00P05	L00S03W00	a	False
Phoneme	L00S03W00P06	L00S03W00	nː	False
Sentence	L00S04	L00	Sentence04	False
Word	L00S04W00	L00S04	Handduk	False
Phoneme	L00S04W00P00	L00S04W00	h	False
Phoneme	L00S04W00P01	L00S04W00	a	False
Phoneme	L00S04W00P02	L00S04W00	nː	False
Phoneme	L00S04W00P03	L00S04W00	d	False
Phoneme	L00S04W00P04	L00S04W00	ʉː	False
Phoneme	L00S04W00P05	L00S04W00	k	False
Sentence	L00S05	L00	Sentence05	False
Word	L00S05W00	L00S05	Heldag	False
Phoneme	L00S05W00P00	L00S05W00	h	False
Phoneme	L00S05W00P01	L00S05W00	eː	False
Phoneme	L00S05W00P02	L00S05W00	l	False
Phoneme	L00S05W00P03	L00S05W00	d	False
Phoneme	L00S05W00P04	L00S05W00	ɑː	False
Phoneme	L00S05W00P05	L00S05W00	ɡ	False
Sentence	L00S06	L00	Sentence06	False
Word	L00S06W00	L00S06	Hjälpsam	False
Phoneme	L00S06W00P00	L00S06W00	ʝ	False
Phoneme	L00S06W00P01	L00S06W00	ɛ̝	False
Phoneme	L00S06W00P02	L00S06W00	lː	False
Phoneme	L00S06W00P03	L00S06W00	p	False
Phoneme	L00S06W00P04	L00S06W00	s	False
Phoneme	L00S06W00P05	L00S06W00	a	False
Phoneme	L00S06W00P06	L00S06W00	mː	False
Sentence	L00S07	L00	Sentence07	False
Word	L00S07W00	L00S07	Husdjur	False
Phoneme	L00S07W00P00	L00S07W00	h	False
Phoneme	L00S07W00P01	L00S07W00	ʉː	False
Phoneme	L00S07W00P02	L00S07W00	s	False
Phoneme	L00S07W00P03	L00S07W00	ʝ	False
Phoneme	L00S07W00P04	L00S07W00	ʉː	False
Phoneme	L00S07W00P05	L00S07W00	r	False
Sentence	L00S08	L00	Sentence08	False
Word	L00S08W00	L00S08	Inkomst	False
Phoneme	L00S08W00P00	L00S08W00	ɪ	False
Phoneme	L00S08W00P01	L00S08W00	ŋː	False
Phoneme	L00S08W00P02	L00S08W00	k	False
Phoneme	L00S08W00P03	L00S08W00	ɔ	False
Phoneme	L00S08W00P04	L00S08W00	mː	False
Phoneme	L00S08W00P05	L00S08W00	s	False
Phoneme	L00S08W00P06	L00S08W00	t	False
Sentence	L00S09	L00	Sentence09	False
Word	L00S09W00	L00S09	Inlagd	False
Phoneme	L00S09W00P00	L00S09W00	ɪ	False
Phoneme	L00S09W00P01	L00S09W00	nː	False
Phoneme	L00S09W00P02	L00S09W00	l	False
Phoneme	L00S09W00P03	L00S09W00	a	False
Phoneme	L00S09W00P04	L00S09W00	ɡː	False
Phoneme	L00S09W00P05	L00S09W00	d	False
Sentence	L00S10	L00	Sentence10	False
Word	L00S10W00	L00S10	Jordbruk	False
Phoneme	L00S10W00P00	L00S10W00	ʝ	False
Phoneme	L00S10W00P01	L00S10W00	uː	False
Phoneme	L00S10W00P02	L00S10W00	ɖ	False
Phoneme	L00S10W00P03	L00S10W00	b	False
Phoneme	L00S10W00P04	L00S10W00	r	False
Phoneme	L00S10W00P05	L00S10W00	ʉː	False
Phoneme	L00S10W00P06	L00S10W00	k	False
Sentence	L00S11	L00	Sentence11	False
Word	L00S11W00	L00S11	Kraftfull	False
Phoneme	L00S11W00P00	L00S11W00	k	False
Phoneme	L00S11W00P01	L00S11W00	r	False
Phoneme	L00S11W00P02	L00S11W00	a	False
Phoneme	L00S11W00P03	L00S11W00	fː	False
Phoneme	L00S11W00P04	L00S11W00	t	False
Phoneme	L00S11W00P05	L00S11W00	f	False
Phoneme	L00S11W00P06	L00S11W00	ɵ	False
Phoneme	L00S11W00P07	L00S11W00	lː	False
Sentence	L00S12	L00	Sentence12	False
Word	L00S12W00	L00S12	Lekfull	False
Phoneme	L00S12W00P00	L00S12W00	l	False
Phoneme	L00S12W00P01	L00S12W00	eː	False
Phoneme	L00S12W00P02	L00S12W00	k	False
Phoneme	L00S12W00P03	L00S12W00	f	False
Phoneme	L00S12W00P04	L00S12W00	ɵ	False
Phoneme	L00S12W00P05	L00S12W00	lː	False
Sentence	L00S13	L00	Sentence13	False
Word	L00S13W00	L00S13	Lätthet	False
Phoneme	L00S13W00P00	L00S13W00	l	False
Phoneme	L00S13W00P01	L00S13W00	ɛ̝	False
Phoneme	L00S13W00P02	L00S13W00	tː	False
Phoneme	L00S13W00P03	L00S13W00	h	False
Phoneme	L00S13W00P04	L00S13W00	eː	False
Phoneme	L00S13W00P05	L00S13W00	t	False
Sentence	L00S14	L00	Sentence14	False
Word	L00S14W00	L00S14	Matsal	False
Phoneme	L00S14W00P00	L00S14W00	m	False
Phoneme	L00S14W00P01	L00S14W00	ɑː	False
Phoneme	L00S14W00P02	L00S14W00	t	False
Phoneme	L00S14W00P03	L00S14W00	s	False
Phoneme	L00S14W00P04	L00S14W00	ɑː	False
Phoneme	L00S14W00P05	L00S14W00	l	False
Sentence	L00S15	L00	Sentence15	False
Word	L00S15W00	L00S15	Skoltid	False
Phoneme	L00S15W00P00	L00S15W00	s	False
Phoneme	L00S15W00P01	L00S15W00	k	False
Phoneme	L00S15W00P02	L00S15W00	uː	False
Phoneme	L00S15W00P03	L00S15W00	l	False
Phoneme	L00S15W00P04	L00S15W00	t	False
Phoneme	L00S15W00P05	L00S15W00	iː	False
Phoneme	L00S15W00P06	L00S15W00	d	False
Sentence	L00S16	L00	Sentence16	False
Word	L00S16W00	L00S16	Soffbord	False
Phoneme	L00S16W00P00	L00S16W00	s	False
Phoneme	L00S16W00P01	L00S16W00	ɔ	False
Phoneme	L00S16W00P02	L00S16W00	fː	False
Phoneme	L00S16W00P03	L00S16W00	b	False
Phoneme	L00S16W00P04	L00S16W00	uː	False
Phoneme	L00S16W00P05	L00S16W00	ɖ	False
Sentence	L00S17	L00	Sentence17	False
Word	L00S17W00	L00S17	Sovrum	False
Phoneme	L00S17W00P00	L00S17W00	s	False
Phoneme	L00S17W00P01	L00S17W00	oː	False
Phoneme	L00S17W00P02	L00S17W00	v	False
Phoneme	L00S17W00P03	L00S17W00	r	False
Phoneme	L00S17W00P04	L00S17W00	ɵ	False
Phoneme	L00S17W00P05	L00S17W00	mː	False
Sentence	L00S18	L00	Sentence18	False
Word	L00S18W00	L00S18	Tillgång	False
Phoneme	L00S18W00P00	L00S18W00	t	False
Phoneme	L00S18W00P01	L00S18W00	ɪ	False
Phoneme	L00S18W00P02	L00S18W00	lː	False
Phoneme	L00S18W00P03	L00S18W00	ɡ	False
Phoneme	L00S18W00P04	L00S18W00	ɔ	False
Phoneme	L00S18W00P05	L00S18W00	ŋː	False
Sentence	L00S19	L00	Sentence19	False
Word	L00S19W00	L00S19	Tilltro	False
Phoneme	L00S19W00P00	L00S19W00	t	False
Phoneme	L00S19W00P01	L00S19W00	ɪ	False
Phoneme	L00S19W00P02	L00S19W00	lː	False
Phoneme	L00S19W00P03	L00S19W00	t	False
Phoneme	L00S19W00P04	L00S19W00	r	False
Phoneme	L00S19W00P05	L00S19W00	uː	False
Sentence	L00S20	L00	Sentence20	False
Word	L00S20W00	L00S20	Trådlös	False
Phoneme	L00S20W00P00	L00S20W00	t	False
Phoneme	L00S20W00P01	L00S20W00	r	False
Phoneme	L00S20W00P02	L00S20W00	oː	False
Phoneme	L00S20W00P03	L00S20W00	d	False
Phoneme	L00S20W00P04	L00S20W00	l	False
Phoneme	L00S20W00P05	L00S20W00	øː	False
Phoneme	L00S20W00P06	L00S20W00	s	False
Sentence	L00S21	L00	Sentence21	False
Word	L00S21W00	L00S21	Tänkbar	False
Phoneme	L00S21W00P00	L00S21W00	t	False
Phoneme	L00S21W00P01	L00S21W00	ɛ̝	False
Phoneme	L00S21W00P02	L00S21W00	ŋː	False
Phoneme	L00S21W00P03	L00S21W00	k	False
Phoneme	L00S21W00P04	L00S21W00	b	False
Phoneme	L00S21W00P05	L00S21W00	ɑː	False
Phoneme	L00S21W00P06	L00S21W00	r	False
Sentence	L00S22	L00	Sentence22	False
Word	L00S22W00	L00S22	Uppnå	False
Phoneme	L00S22W00P00	L00S22W00	ɵ	False
Phoneme	L00S22W00P01	L00S22W00	pː	False
Phoneme	L00S22W00P02	L00S22W00	n	False
Phoneme	L00S22W00P03	L00S22W00	oː	False
Sentence	L00S23	L00	Sentence23	False
Word	L00S23W00	L00S23	Utgång	False
Phoneme	L00S23W00P00	L00S23W00	ʉː	False
Phoneme	L00S23W00P01	L00S23W00	t	False
Phoneme	L00S23W00P02	L00S23W00	ɡ	False
Phoneme	L00S23W00P03	L00S23W00	ɔ	False
Phoneme	L00S23W00P04	L00S23W00	ŋː	False
Sentence	L00S24	L00	Sentence24	False
Word	L00S24W00	L00S24	Verktyg	False
Phoneme	L00S24W00P00	L00S24W00	v	False
Phoneme	L00S24W00P01	L00S24W00	ɛ̝	False
Phoneme	L00S24W00P02	L00S24W00	rː	False
Phoneme	L00S24W00P03	L00S24W00	k	False
Phoneme	L00S24W00P04	L00S24W00	t	False
Phoneme	L00S24W00P05	L00S24W00	yː	False
Phoneme	L00S24W00P06	L00S24W00	ɡ	False

List	L01	Swedish Spondees 23	Lista 2	False
Sentence	L01S00	L01	Sentence00	False
Word	L01S00W00	L01S00	Barnvakt	False
Phoneme	L01S00W00P00	L01S00W00	b	False
Phoneme	L01S00W00P01	L01S00W00	ɑː	False
Phoneme	L01S00W00P02	L01S00W00	ɳ	False
Phoneme	L01S00W00P03	L01S00W00	v	False
Phoneme	L01S00W00P04	L01S00W00	a	False
Phoneme	L01S00W00P05	L01S00W00	kː	False
Phoneme	L01S00W00P06	L01S00W00	t	False
Sentence	L01S01	L01	Sentence01	False
Word	L01S01W00	L01S01	Slutsålt	False
Phoneme	L01S01W00P00	L01S01W00	s	False
Phoneme	L01S01W00P01	L01S01W00	l	False
Phoneme	L01S01W00P02	L01S01W00	ʉː	False
Phoneme	L01S01W00P03	L01S01W00	t	False
Phoneme	L01S01W00P04	L01S01W00	s	False
Phoneme	L01S01W00P05	L01S01W00	ɔ	False
Phoneme	L01S01W00P06	L01S01W00	lː	False
Phoneme	L01S01W00P07	L01S01W00	t	False
Sentence	L01S02	L01	Sentence02	False
Word	L01S02W00	L01S02	Godkänd	False
Phoneme	L01S02W00P00	L01S02W00	ɡ	False
Phoneme	L01S02W00P01	L01S02W00	uː	False
Phoneme	L01S02W00P02	L01S02W00	d	False
Phoneme	L01S02W00P03	L01S02W00	ɕ	False
Phoneme	L01S02W00P04	L01S02W00	ɛ̝	False
Phoneme	L01S02W00P05	L01S02W00	nː	False
Phoneme	L01S02W00P06	L01S02W00	d	False
Sentence	L01S03	L01	Sentence03	False
Word	L01S03W00	L01S03	Högljudd	False
Phoneme	L01S03W00P00	L01S03W00	h	False
Phoneme	L01S03W00P01	L01S03W00	øː	False
