Id	Spelling	Transcription	IsKeyComponent
C	C	C	N
L00S00W00	Budskap	 b ² ʉː d . s k ˌ ɑː p 	0
L00S01W00	Dansgolv	 d ² a nː s . ɡ ˌ ɔ lː v 	0
L00S02W00	Enhet	 ² eː n . h ˌ eː t 	0
L00S03W00	Fästman	 f ² ɛ̝ sː t . m ˌ a nː 	0
L00S04W00	Handduk	 h ² a nː . d ˌ ʉː k 	0
L00S05W00	Heldag	 h ² eː l . d ˌ ɑː ɡ 	0
L00S06W00	Hjälpsam	 ʝ ² ɛ̝ lː p . s ˌ a mː 	0
L00S07W00	Husdjur	 h ² ʉː s . ʝ ˌ ʉː r 	0
L00S08W00	Inkomst	 ² ɪ ŋː . k ˌ ɔ mː s t 	0
L00S09W00	Inlagd	 ² ɪ nː . l ˌ a ɡː d 	0
L00S10W00	Jordbruk	 ʝ ² uː ɖ . b r ˌ ʉː k 	0
L00S11W00	Kraftfull	 k r ² a fː t . f ˌ ɵ lː 	0
L00S12W00	Lekfull	 l ² eː k . f ˌ ɵ lː 	0
L00S13W00	Lätthet	 l ² ɛ̝ tː . h ˌ eː t 	0
L00S14W00	Matsal	 m ² ɑː t . s ˌ ɑː l 	0
L00S15W00	Skoltid	 s k ² uː l . t ˌ iː d 	0
L00S16W00	Soffbord	 s ² ɔ fː . b ˌ uː ɖ 	0
L00S17W00	Sovrum	 s ² oː v . r ˌ ɵ mː 	0
L00S18W00	Tillgång	 t ² ɪ lː . ɡ ˌ ɔ ŋː 	0
L00S19W00	Tilltro	 t ² ɪ lː . t r ˌ uː 	0
L00S20W00	Trådlös	 t r ² oː d . l ˌ øː s 	0
L00S21W00	Tänkbar	 t ² ɛ̝ ŋː k . b ˌ ɑː r 	0
L00S22W00	Uppnå	 ² ɵ pː . n ˌ oː 	0
L00S23W00	Utgång	 ² ʉː t . ɡ ˌ ɔ ŋː 	0
L00S24W00	Verktyg	 v ² ɛ̝ rː k . t ˌ yː ɡ 	0
L01S00W00	Barnvakt	 b ² ɑː ɳ . v ˌ a kː t 	0
L01S01W00	Slutsålt	 s l ² ʉː t . s ˌ ɔ lː t 	0
L01S02W00	Godkänd	 ɡ ² uː d . ɕ ˌ ɛ̝ nː d 	0
