UniqueIdentifier	OrthographicForm	GIL2P_OT_Average	GIL2P_OT_Min	PIP2G_OT_Average	PIP2G_OT_Min	G2P_OT_Average	HomographCount	RawWordTypeFrequency	RawDocumentCount	PhoneticForm	PhonotacticType	SSPP_Average	SSPP_Min	PSP_Sum	PSBP_Sum	S_PSP_Average	S_PSBP_Average	HomophoneCount	PNDP	ONDP	NumberOfSenses	ForeignWord	ZipfValue	SyllableCount	PhoneCount	PLD1WordCount	OLD1WordCount
C	C	N	N	N	N	N	N	N	N	C	C	N	N	N	N	N	N	N	N	N	N	C	N	N	N	N	N
a [ ˈ ɑː ]	a	0,962	0,962	1	1	0,1977	0	304032	7411	ˈ ɑː	V	0,9016	0,8574	0,0129	0	-0,2581	0	0	0,024	0,021	2	True	5,7502	1	1	54	60
à [ ˈ a ]	à	1	1	0,4288	0,4288	1	0	3026	1003	ˈ a	V	0,851	0,7558	0,0372	0	0,6774	0	1	0,037	0,027	1	True	3,7483	1	1	25	29
aas [ ˈ oː s ]	aas	0,6826	0,3652	0,6968	0,3937	0,6043	0	59	29	ˈ oː s	VC	0,8603	0,7517	0,0137	0,0006	-0,4082	-0,1531	1	0,03	0,022		False	2,0454	1	2	29	34
ab- [ ˈ a bː ]	ab-	0,8336	0,6673	0,9055	0,811	0,5017	0	6	4	ˈ a bː	VC	0,8611	0,7343	0,0374	0,0001	0,0042	-0,3872	0	0,017	0,059		False	1,1123	1	2	20	8
ack [ ˈ a kː ]	ack	0,9846	0,9692	0,9846	0,9692	1	0	7129	2731	ˈ a kː	VC	0,9463	0,8928	0,0398	0,0012	0,0666	0,1075	0	0,036	0,059	1	False	4,1203	1	2	29	21
af [ ˈ ɑː f ]	af	0,981	0,962	1	1	0,5988	1	7691	968	ˈ ɑː f	VC	0,8235	0,613	0,016	0	-0,3891	-0,4267	0	0,089	0,032	1	False	4,1533	1	2	10	40
ag [ ˈ ɑː ɡ ]	ag	0,981	0,962	1	1	0,5988	0	3316	1213	ˈ ɑː ɡ	VC	0,9525	0,8574	0,016	0,0001	-0,391	-0,4026	0	0,048	0,021	2	False	3,788	1	2	17	49
agg [ ˈ a ɡː ]	agg	0,9206	0,8412	1	1	1	0	382	280	ˈ a ɡː	VC	0,8735	0,727	0,0377	0	0,0129	-0,4304	0	0,04	0,048	1	False	2,8504	1	2	21	23
aggs [ ˈ a ɡː s ]	aggs	0,9471	0,8412	1	1	1	0	0	0	ˈ a ɡː s	VCC	0,8349	0,6666	0,0913	0,0001	0,9482	-0,4058	0	0,009	0,014		False	0,2672	1	3	12	14
agn [ ˈ a ŋː n ]	agn	0,873	0,746	0,9178	0,8357	1	0	22	18	ˈ a ŋː n	VCC	0,8956	0,8082	0,0782	0,0014	0,6137	-0,0601	0	0,101	0,031	1	False	1,629	1	3	4	17
agns [ ˈ a ŋː n s ]	agns	0,9153	0,746	0,9452	0,8357	1	0	0	0	ˈ a ŋː n s	VCCC	0,8751	0,7928	0,1502	0,0074	1,2431	1,8142	0	0,047	0,01		False	0,2672	1	4	4	15
ags [ ˈ ɑː ɡ s ]	ags	0,9873	0,962	1	1	0,7326	1	42	24	ˈ ɑː ɡ s	VCC	0,902	0,7506	0,0695	0,0001	0,679	-0,4193	0	0,052	0,027	2	False	1,9007	1	3	10	25
ah [ ˈ a ]	ah	0,9059	0,8117	0,5	0	0,5162	0	7850	1824	ˈ a	V	0,851	0,7558	0,0372	0	0,6774	0	1	0,037	0,032	1	False	4,1622	1	1	25	32
ahl [ ˈ ɑː l ]	ahl	0,9246	0,8117	0,6667	0	0,41	0	485	160	ˈ ɑː l	VC	0,8963	0,8315	0,0586	0,0005	0,6953	-0,1974	1	0,039	0,073		False	2,9539	1	2	27	15
ahlm [ ˈ a lː m ]	ahlm	0,929	0,8117	0,7375	0	0,5462	0	42	21	ˈ a lː m	VCC	0,9218	0,7941	0,0646	0,0031	0,2915	0,4142	1	0,056	0,17		False	1,9007	1	3	17	5
ahlms [ ˈ a lː m s ]	ahlms	0,9432	0,8117	0,79	0	0,637	0	3	3	ˈ a lː m s	VCCC	0,8884	0,7549	0,1367	0,0035	1,0015	0,2524	1	0,069	0,142		False	0,8693	1	4	10	3
ahls [ ˈ ɑː l s ]	ahls	0,9434	0,8117	0,75	0	0,5575	0	17	16	ˈ ɑː l s	VCC	0,8651	0,7715	0,1122	0,0008	1,4032	-0,2138	1	0,064	0,07		False	1,5225	1	3	18	9
aids [ ˈ ɛ̝ ʝː d s ]	aids	0,8652	0,5957	0,8794	0,6382	0,854	0	1424	496	ˈ ɛ̝ ʝː d s	VCCC	0,8727	0,7407	0,1242	0,0037	1,0254	0,7356	0	0,477	0,113	1	False	3,4211	1	4	2	12
